datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;358.00
1.00;1.00;4.00;18.41;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;658.00
2.00;1.00;4.11;17.84;5.00;20867.81;800.00;0.00;0.00;0.00;20867.81;0.00;378.00
3.00;1.00;4.14;17.71;1.00;27905.03;160.00;0.00;0.00;0.00;27905.03;0.00;290.00
4.00;1.00;4.08;17.72;3.00;30905.83;480.00;0.00;0.00;0.00;30905.83;0.00;263.00
5.00;1.00;4.04;17.78;2.00;31992.89;320.00;0.00;0.00;0.00;31992.89;0.00;169.00
6.00;1.00;4.01;17.86;3.00;32652.65;480.00;0.00;0.00;0.00;32652.65;0.00;256.00
7.00;1.00;4.06;17.95;4.00;32954.53;912.00;3045.53;0.00;0.00;32954.53;0.00;339.00
8.00;0.80;3.80;18.11;2.00;31047.12;484.00;6667.73;100395.16;1.60;131442.28;0.00;1133.00
9.00;1.00;4.23;18.28;4.00;28875.44;896.00;11256.18;0.00;0.00;28875.44;0.00;711.00
10.00;0.60;4.66;18.52;3.00;24687.80;696.00;13744.35;0.00;0.00;24687.80;0.00;1680.00
11.00;0.80;5.24;18.72;4.00;21404.18;872.00;13442.16;0.00;0.00;21404.18;0.00;1886.00
12.00;0.40;4.18;18.88;5.00;15236.25;1010.00;12745.43;0.00;0.00;15236.25;0.00;1591.00
13.00;0.40;3.89;18.85;3.00;11566.94;714.00;8895.31;0.00;0.00;11566.94;0.00;718.00
14.00;0.60;4.04;18.67;4.00;14946.88;912.00;4161.44;0.00;0.00;14946.88;0.00;246.00
15.00;0.80;4.07;18.48;2.00;24078.04;464.00;13.57;0.00;0.00;24078.04;0.00;393.00
16.00;0.80;4.02;18.38;3.00;30214.43;702.00;0.00;0.00;0.00;30214.43;0.00;322.00
17.00;0.80;3.84;18.41;4.00;32473.30;856.00;0.00;0.00;0.00;32473.30;0.00;387.00
18.00;1.00;3.74;18.48;3.00;33540.87;732.00;0.00;0.00;0.00;33540.87;0.00;509.00
19.00;1.00;3.44;18.56;5.00;34255.29;1100.00;0.00;0.00;0.00;34255.29;0.00;639.00
20.00;1.00;3.23;18.64;2.00;34786.90;408.00;0.00;0.00;0.00;34786.90;0.00;934.00
21.00;1.00;3.10;18.71;4.00;35768.87;984.00;0.00;0.00;0.00;35768.87;0.00;735.00
22.00;1.00;2.65;18.80;3.00;36055.37;684.00;0.00;0.00;0.00;36055.37;0.00;622.00
23.00;1.00;2.13;18.87;4.00;37018.18;904.00;0.00;0.00;0.00;37018.18;0.00;539.00
24.00;1.00;1.95;18.94;3.00;37999.30;480.00;0.00;0.00;0.00;37999.30;0.00;341.00
25.00;1.00;1.76;19.01;2.00;37842.39;320.00;0.00;0.00;0.00;37842.39;0.00;271.00
26.00;1.00;1.61;19.06;4.00;15136.96;0.00;0.00;0.00;0.00;15136.96;0.00;165.00
27.00;1.00;1.46;18.66;2.00;6054.78;0.00;0.00;0.00;0.00;6054.78;0.00;329.00
28.00;1.00;1.43;18.10;4.00;26727.50;640.00;0.00;0.00;0.00;26727.50;0.00;339.00
29.00;1.00;1.39;17.97;4.00;33961.25;640.00;0.00;0.00;0.00;33961.25;0.00;214.00
30.00;1.00;1.30;17.98;2.00;36748.57;320.00;0.00;0.00;0.00;36748.57;0.00;260.00
31.00;1.00;1.13;18.04;4.00;38170.25;856.00;3349.68;0.00;0.00;38170.25;0.00;314.00
32.00;1.00;1.09;18.18;2.00;36686.78;460.00;6818.02;0.00;0.00;36686.78;0.00;404.00
33.00;1.00;1.20;18.35;5.00;34481.55;1240.00;10132.94;0.00;0.00;34481.55;0.00;800.00
34.00;1.00;1.21;18.56;3.00;31211.93;720.00;10913.69;0.00;0.00;31211.93;0.00;847.00
35.00;1.00;1.25;18.70;4.00;29995.44;880.00;10125.84;0.00;0.00;29995.44;0.00;725.00
36.00;1.00;1.31;18.80;5.00;30001.09;1230.00;8395.04;0.00;0.00;30001.09;0.00;688.00
37.00;1.00;1.28;18.87;2.00;30879.80;480.00;6007.42;0.00;0.00;30879.80;0.00;625.00
38.00;1.00;1.16;18.89;4.00;33245.90;952.00;3624.76;0.00;0.00;33245.90;0.00;763.00
39.00;1.00;0.92;18.92;2.00;35517.07;488.00;16.17;0.00;0.00;35517.07;0.00;717.00
40.00;1.00;0.82;18.90;4.00;38554.39;896.00;0.00;0.00;0.00;38554.39;0.00;1376.00
