datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;17.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3016.00
1.00;1.00;4.00;19.23;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2163.00
2.00;1.00;4.11;18.51;18.00;83381.96;2880.00;0.00;0.00;0.00;83381.96;0.00;1596.00
3.00;1.00;4.14;18.33;12.00;110998.55;1920.00;0.00;219937.66;3.50;330936.21;0.00;1613.00
4.00;1.00;4.08;18.33;16.00;121612.96;2560.00;0.00;0.00;0.00;121612.96;0.00;1454.00
5.00;1.00;4.04;18.39;14.00;125737.86;2240.00;0.00;0.00;0.00;125737.86;0.00;1531.00
6.00;1.00;4.01;18.47;13.00;128054.16;2080.00;0.00;0.00;0.00;128054.16;0.00;1661.00
7.00;0.95;4.06;18.55;18.00;129591.20;3600.00;22727.46;0.00;0.00;129591.20;0.00;1639.00
8.00;0.68;3.80;18.79;11.00;115858.70;2442.00;33177.12;0.00;0.00;115858.70;0.00;2202.00
9.00;0.68;4.23;18.97;15.00;107136.03;3000.00;44238.37;0.00;0.00;107136.03;0.00;6816.00
10.00;0.58;4.66;19.19;12.00;95511.96;2592.00;43474.17;0.00;0.00;95511.96;0.00;7761.00
11.00;0.58;5.24;19.34;13.00;90555.05;2938.00;33843.38;0.00;0.00;90555.05;0.00;4702.00
12.00;0.63;4.18;19.42;15.00;92039.30;3600.00;24101.12;0.00;0.00;92039.30;0.00;7422.00
13.00;0.63;3.89;19.41;9.00;103594.58;1926.00;18667.06;0.00;0.00;103594.58;0.00;4624.00
14.00;0.74;4.04;19.41;15.00;113831.61;3600.00;10671.56;0.00;0.00;113831.61;0.00;3547.00
15.00;0.89;4.07;19.44;8.00;120980.14;1856.00;58.41;0.00;0.00;120980.14;0.00;3016.00
16.00;0.89;4.02;19.43;11.00;131247.77;2332.00;0.00;0.00;0.00;131247.77;0.00;2692.00
17.00;0.89;3.84;19.49;13.00;135319.85;3120.00;0.00;0.00;0.00;135319.85;0.00;6680.00
18.00;1.00;3.74;19.57;9.00;137630.99;1818.00;0.00;0.00;0.00;137630.99;0.00;7941.00
19.00;1.00;3.44;19.64;15.00;140222.81;3600.00;0.00;0.00;0.00;140222.81;0.00;6221.00
20.00;1.00;3.23;19.73;6.00;141999.97;1344.00;0.00;0.00;0.00;141999.97;0.00;9070.00
21.00;1.00;3.10;19.79;15.00;145445.12;3330.00;0.00;0.00;0.00;145445.12;0.00;6323.00
22.00;1.00;2.65;19.88;11.00;146553.43;2222.00;0.00;0.00;0.00;146553.43;0.00;7696.00
23.00;1.00;2.13;19.95;15.00;58621.37;0.00;0.00;0.00;0.00;58621.37;0.00;4220.00
24.00;1.00;1.95;19.44;14.00;114687.01;2240.00;0.00;0.00;0.00;114687.01;0.00;2445.00
25.00;1.00;1.76;19.31;10.00;138787.42;1600.00;0.00;0.00;0.00;138787.42;0.00;2400.00
26.00;1.00;1.61;19.30;14.00;149078.24;2240.00;0.00;0.00;0.00;149078.24;0.00;1901.00
27.00;1.00;1.46;19.36;7.00;153492.27;1120.00;0.00;0.00;0.00;153492.27;0.00;1567.00
28.00;1.00;1.43;19.43;11.00;156920.27;1760.00;0.00;0.00;0.00;156920.27;0.00;1550.00
29.00;1.00;1.39;19.51;13.00;158376.93;2080.00;0.00;0.00;0.00;158376.93;0.00;1918.00
30.00;1.00;1.30;19.60;11.00;159395.28;1760.00;0.00;0.00;0.00;159395.28;0.00;1588.00
31.00;1.00;1.13;19.69;17.00;160822.92;3774.00;26969.36;0.00;0.00;160822.92;0.00;3900.00
32.00;1.00;1.09;19.94;8.00;145245.66;1872.00;35497.00;0.00;0.00;145245.66;0.00;3524.00
33.00;1.00;1.20;20.13;17.00;132225.66;4182.00;41428.85;0.00;0.00;132225.66;0.00;6276.00
34.00;1.00;1.21;20.28;11.00;52890.27;0.00;0.00;0.00;0.00;52890.27;0.00;7516.00
35.00;1.00;1.25;19.69;13.00;21156.11;0.00;0.00;0.00;0.00;21156.11;0.00;7011.00
36.00;1.00;1.31;18.94;16.00;107248.63;3776.00;17587.84;0.00;0.00;107248.63;0.00;6716.00
37.00;1.00;1.28;18.86;9.00;124953.13;1836.00;12613.25;0.00;0.00;124953.13;0.00;6367.00
38.00;1.00;1.16;18.85;17.00;135991.06;3502.00;9085.09;0.00;0.00;135991.06;0.00;3233.00
39.00;1.00;0.92;18.89;9.00;142058.06;1962.00;69.62;0.00;0.00;142058.06;0.00;4121.00
40.00;1.00;0.82;18.89;13.00;152149.61;3250.00;0.00;0.00;0.00;152149.61;0.00;5359.00
41.00;1.00;0.74;18.95;13.00;155938.05;2938.00;0.00;0.00;0.00;155938.05;0.00;4344.00
42.00;1.00;0.81;19.03;12.00;158319.43;2952.00;0.00;0.00;0.00;158319.43;0.00;10029.00
43.00;1.00;0.75;19.12;16.00;159280.40;3584.00;0.00;0.00;0.00;159280.40;0.00;6975.00
44.00;1.00;0.94;19.21;7.00;160018.98;1470.00;0.00;0.00;0.00;160018.98;0.00;8331.00
45.00;1.00;0.91;19.30;14.00;161145.20;3164.00;0.00;0.00;0.00;161145.20;0.00;8841.00
46.00;1.00;1.04;19.40;12.00;161157.69;2544.00;0.00;0.00;0.00;161157.69;0.00;7337.00
47.00;1.00;1.19;19.50;11.00;64463.08;0.00;0.00;0.00;0.00;64463.08;0.00;4531.00
48.00;1.00;0.98;19.01;15.00;123948.89;2400.00;0.00;216121.83;3.44;340070.72;0.00;2756.00
49.00;1.00;0.98;18.90;9.00;49579.56;0.00;0.00;0.00;0.00;49579.56;0.00;3320.00
50.00;1.00;0.93;18.34;16.00;115867.01;2560.00;0.00;0.00;0.00;115867.01;0.00;2313.00
51.00;1.00;0.94;18.22;9.00;138664.26;1440.00;0.00;0.00;0.00;138664.26;0.00;1800.00
52.00;1.00;0.94;18.23;11.00;147821.84;1760.00;0.00;0.00;0.00;147821.84;0.00;1503.00
53.00;1.00;0.99;18.29;13.00;151338.50;2080.00;0.00;0.00;0.00;151338.50;0.00;2440.00
54.00;1.00;0.92;18.38;11.00;152629.49;1760.00;0.00;0.00;0.00;152629.49;0.00;3175.00
55.00;1.00;1.34;18.46;17.00;154070.37;3638.00;9884.64;0.00;0.00;154070.37;0.00;2545.00
56.00;1.00;1.69;18.65;5.00;145981.98;1120.00;15411.56;0.00;0.00;145981.98;0.00;2686.00
