datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;21.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;276.00
1.00;1.00;4.00;20.72;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;193.00
2.00;1.00;4.11;20.44;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;113.00
3.00;1.00;4.14;20.17;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;210.00
4.00;1.00;4.08;19.90;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;146.00
5.00;1.00;4.04;19.64;5.00;4068.82;800.00;0.00;0.00;0.00;4068.82;0.00;124.00
6.00;1.00;4.01;19.64;4.00;5174.94;640.00;0.00;0.00;0.00;5174.94;0.00;160.00
7.00;0.86;4.06;19.70;6.00;5719.25;1440.00;1146.72;0.00;0.00;5719.25;0.00;123.00
8.00;1.00;3.80;19.88;3.00;4770.54;636.00;1997.39;0.00;0.00;4770.54;0.00;178.00
9.00;0.71;4.23;20.01;6.00;4444.19;1452.00;3035.60;0.00;0.00;4444.19;0.00;92.00
10.00;0.57;4.66;20.22;3.00;3145.43;702.00;3418.13;0.00;0.00;3145.43;0.00;171.00
11.00;0.86;5.24;20.35;4.00;2807.38;888.00;3104.39;0.00;0.00;2807.38;0.00;95.00
12.00;0.57;4.18;20.47;5.00;2663.87;1090.00;2727.53;0.00;0.00;2663.87;0.00;156.00
13.00;0.71;3.89;20.54;4.00;2929.80;984.00;1965.34;0.00;0.00;2929.80;0.00;812.00
14.00;0.57;4.04;20.58;5.00;3626.22;1130.00;988.62;0.00;0.00;3626.22;0.00;336.00
15.00;0.57;4.07;20.61;3.00;4381.96;732.00;3.48;0.00;0.00;4381.96;0.00;759.00
16.00;0.86;4.02;20.61;5.00;5514.58;1170.00;0.00;0.00;0.00;5514.58;0.00;271.00
17.00;1.00;3.84;20.70;6.00;5715.43;1236.00;0.00;0.00;0.00;5715.43;0.00;140.00
18.00;1.00;3.74;20.79;6.00;5805.04;1296.00;0.00;0.00;0.00;5805.04;0.00;479.00
19.00;1.00;3.44;20.88;7.00;5841.95;1582.00;0.00;0.00;0.00;5841.95;0.00;1138.00
20.00;1.00;3.23;20.99;4.00;5759.29;888.00;0.00;11850.77;0.19;17610.05;0.00;1469.00
21.00;1.00;3.10;21.05;6.00;5164.08;1500.00;0.00;0.00;0.00;5164.08;0.00;1466.00
22.00;1.00;2.65;21.11;4.00;2065.63;0.00;0.00;0.00;0.00;2065.63;0.00;923.00
23.00;1.00;2.13;20.92;5.00;826.25;0.00;0.00;0.00;0.00;826.25;0.00;447.00
24.00;1.00;1.95;20.65;6.00;4769.37;960.00;0.00;0.00;0.00;4769.37;0.00;397.00
25.00;1.00;1.76;20.65;3.00;1907.75;0.00;0.00;0.00;0.00;1907.75;0.00;158.00
26.00;1.00;1.61;20.43;6.00;763.10;0.00;0.00;0.00;0.00;763.10;0.00;145.00
27.00;1.00;1.46;20.16;3.00;305.24;0.00;0.00;0.00;0.00;305.24;0.00;219.00
28.00;1.00;1.43;19.87;5.00;4726.81;800.00;0.00;0.00;0.00;4726.81;0.00;166.00
