datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;21.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;649.00
1.00;1.00;4.00;20.66;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;810.00
2.00;1.00;4.11;20.33;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;496.00
3.00;1.00;4.14;20.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;527.00
4.00;1.00;4.08;19.69;5.00;3956.11;800.00;0.00;0.00;0.00;3956.11;0.00;300.00
5.00;1.00;4.04;19.67;4.00;1582.44;0.00;0.00;0.00;0.00;1582.44;0.00;438.00
6.00;1.00;4.01;19.46;3.00;4545.79;480.00;0.00;19638.20;0.31;24183.99;0.00;306.00
7.00;1.00;4.06;19.47;5.00;5408.59;1120.00;797.75;0.00;0.00;5408.59;0.00;521.00
8.00;0.67;3.80;19.63;3.00;4884.64;630.00;1340.05;0.00;0.00;4884.64;0.00;508.00
9.00;0.67;4.23;19.74;5.00;4720.78;1150.00;1984.23;0.00;0.00;4720.78;0.00;749.00
10.00;0.83;4.66;19.93;5.00;3897.77;1120.00;2178.65;0.00;0.00;3897.77;0.00;1608.00
11.00;0.67;5.24;20.08;5.00;3424.70;1250.00;1929.34;0.00;0.00;3424.70;0.00;1249.00
12.00;0.67;4.18;20.20;5.00;3224.28;1200.00;1645.29;0.00;0.00;3224.28;0.00;2572.00
13.00;0.50;3.89;20.27;4.00;3568.61;800.00;1192.50;0.00;0.00;3568.61;0.00;1395.00
14.00;0.83;4.04;20.29;6.00;4286.04;1404.00;607.19;0.00;0.00;4286.04;0.00;997.00
15.00;1.00;4.07;20.36;3.00;4537.57;642.00;2.39;0.00;0.00;4537.57;0.00;1160.00
16.00;0.83;4.02;20.37;4.00;5466.42;992.00;0.00;0.00;0.00;5466.42;0.00;1059.00
17.00;1.00;3.84;20.45;4.00;5638.63;856.00;0.00;0.00;0.00;5638.63;0.00;2418.00
18.00;1.00;3.74;20.53;4.00;5838.84;984.00;0.00;0.00;0.00;5838.84;0.00;3119.00
19.00;1.00;3.44;20.62;6.00;5877.39;1368.00;0.00;0.00;0.00;5877.39;0.00;1936.00
20.00;1.00;3.23;20.74;4.00;5737.82;936.00;0.00;0.00;0.00;5737.82;0.00;1524.00
21.00;1.00;3.10;20.81;5.00;6001.73;1050.00;0.00;0.00;0.00;6001.73;0.00;1971.00
22.00;1.00;2.65;20.90;2.00;6076.42;480.00;0.00;0.00;0.00;6076.42;0.00;975.00
23.00;1.00;2.13;20.95;2.00;6538.60;436.00;0.00;0.00;0.00;6538.60;0.00;1119.00
24.00;1.00;1.95;21.02;4.00;6383.90;640.00;0.00;0.00;0.00;6383.90;0.00;737.00
25.00;1.00;1.76;21.08;3.00;2553.56;0.00;0.00;0.00;0.00;2553.56;0.00;651.00
26.00;1.00;1.61;20.85;5.00;1021.42;0.00;0.00;0.00;0.00;1021.42;0.00;477.00
27.00;1.00;1.46;20.54;3.00;5006.05;480.00;0.00;0.00;0.00;5006.05;0.00;542.00
28.00;1.00;1.43;20.50;5.00;6279.66;800.00;0.00;0.00;0.00;6279.66;0.00;424.00
29.00;1.00;1.39;20.57;4.00;6596.61;640.00;0.00;0.00;0.00;6596.61;0.00;394.00
30.00;1.00;1.30;20.64;5.00;6840.54;800.00;0.00;0.00;0.00;6840.54;0.00;447.00
31.00;1.00;1.13;20.74;5.00;6871.79;1100.00;923.44;0.00;0.00;6871.79;0.00;812.00
32.00;1.00;1.09;20.91;2.00;6201.21;436.00;1406.47;0.00;0.00;6201.21;0.00;961.00
33.00;1.00;1.20;21.02;5.00;5992.20;1050.00;1821.67;0.00;0.00;5992.20;0.00;990.00
34.00;1.00;1.21;21.19;4.00;2396.88;0.00;0.00;0.00;0.00;2396.88;0.00;1400.00
35.00;1.00;1.25;20.94;5.00;958.75;0.00;0.00;0.00;0.00;958.75;0.00;680.00
36.00;1.00;1.31;20.61;4.00;4694.46;928.00;1120.13;0.00;0.00;4694.46;0.00;2595.00
37.00;1.00;1.28;20.65;2.00;5255.80;456.00;802.91;0.00;0.00;5255.80;0.00;1630.00
38.00;1.00;1.16;20.67;5.00;5968.32;1080.00;522.67;19540.63;0.31;25508.95;0.00;827.00
39.00;1.00;0.92;20.76;3.00;6074.63;720.00;2.85;0.00;0.00;6074.63;0.00;872.00
40.00;1.00;0.82;20.79;5.00;6706.79;1150.00;0.00;0.00;0.00;6706.79;0.00;1828.00
41.00;1.00;0.74;20.89;4.00;6728.72;968.00;0.00;0.00;0.00;6728.72;0.00;4581.00
42.00;1.00;0.81;20.98;3.00;6880.12;702.00;0.00;0.00;0.00;6880.12;0.00;1960.00
43.00;1.00;0.75;21.05;5.00;6377.75;1250.00;0.00;0.00;0.00;6377.75;0.00;1846.00
44.00;1.00;0.94;21.13;2.00;2551.10;0.00;0.00;0.00;0.00;2551.10;0.00;2203.00
45.00;1.00;0.91;20.89;4.00;1020.44;0.00;0.00;0.00;0.00;1020.44;0.00;1704.00
46.00;1.00;1.04;20.55;3.00;5145.79;630.00;0.00;0.00;0.00;5145.79;0.00;1997.00
47.00;1.00;1.19;20.53;4.00;2058.32;0.00;0.00;0.00;0.00;2058.32;0.00;1003.00
48.00;1.00;0.98;20.27;5.00;5438.25;800.00;0.00;0.00;0.00;5438.25;0.00;1063.00
49.00;1.00;0.98;20.28;3.00;6302.82;480.00;0.00;0.00;0.00;6302.82;0.00;2327.00
50.00;1.00;0.93;20.32;5.00;2521.13;0.00;0.00;0.00;0.00;2521.13;0.00;584.00
51.00;1.00;0.94;20.10;4.00;1008.45;0.00;0.00;0.00;0.00;1008.45;0.00;346.00
52.00;1.00;0.94;19.78;5.00;403.38;0.00;0.00;0.00;0.00;403.38;0.00;342.00
53.00;1.00;0.99;19.43;5.00;4682.43;800.00;0.00;0.00;0.00;4682.43;0.00;435.00
54.00;1.00;0.92;19.41;4.00;5838.22;640.00;0.00;0.00;0.00;5838.22;0.00;360.00
55.00;1.00;1.34;19.45;6.00;6404.75;1344.00;350.84;0.00;0.00;6404.75;0.00;468.00
