datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50.00
1.00;1.00;4.00;18.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39.00
2.00;1.00;4.11;17.67;1.00;6261.29;160.00;0.00;0.00;0.00;6261.29;0.00;32.00
3.00;1.00;4.14;17.51;0.00;8382.86;0.00;0.00;0.00;0.00;8382.86;0.00;25.00
4.00;1.00;4.08;17.51;1.00;9255.44;160.00;0.00;0.00;0.00;9255.44;0.00;24.00
5.00;1.00;4.04;17.57;0.00;9529.45;0.00;0.00;0.00;0.00;9529.45;0.00;35.00
6.00;1.00;4.01;17.64;1.00;9775.47;160.00;0.00;0.00;0.00;9775.47;0.00;39.00
7.00;1.00;4.06;17.74;1.00;9815.95;214.00;635.15;17977.81;0.29;27793.77;0.00;39.00
8.00;1.00;3.80;17.89;0.00;9438.44;0.00;1390.79;0.00;0.00;9438.44;0.00;39.00
9.00;1.00;4.23;18.02;1.00;9112.81;238.00;2348.01;0.00;0.00;9112.81;0.00;39.00
10.00;0.00;4.66;18.24;1.00;3645.12;208.00;2867.14;0.00;0.00;3645.12;0.00;39.00
11.00;1.00;5.24;18.11;1.00;5595.41;248.00;2804.17;0.00;0.00;5595.41;0.00;26.00
12.00;1.00;4.18;18.14;0.00;6116.41;0.00;2658.88;0.00;0.00;6116.41;0.00;13.00
13.00;0.00;3.89;18.14;0.00;2446.56;0.00;1855.72;0.00;0.00;2446.56;0.00;39.00
14.00;0.00;4.04;17.80;1.00;978.63;248.00;868.16;0.00;0.00;978.63;0.00;39.00
15.00;1.00;4.07;17.33;1.00;5772.60;224.00;2.83;0.00;0.00;5772.60;0.00;39.00
16.00;1.00;4.02;17.16;1.00;8032.56;228.00;0.00;0.00;0.00;8032.56;0.00;39.00
17.00;1.00;3.84;17.15;1.00;8888.80;212.00;0.00;0.00;0.00;8888.80;0.00;39.00
18.00;1.00;3.74;17.20;1.00;9308.33;204.00;0.00;0.00;0.00;9308.33;0.00;89.00
19.00;1.00;3.44;17.28;1.00;9540.39;228.00;0.00;0.00;0.00;9540.39;0.00;235.00
20.00;1.00;3.23;17.35;0.00;9760.60;0.00;0.00;0.00;0.00;9760.60;0.00;247.00
21.00;1.00;3.10;17.41;1.00;10090.94;202.00;0.00;0.00;0.00;10090.94;0.00;281.00
22.00;1.00;2.65;17.50;1.00;10172.45;238.00;0.00;0.00;0.00;10172.45;0.00;175.00
23.00;1.00;2.13;17.57;1.00;10388.94;232.00;0.00;0.00;0.00;10388.94;0.00;112.00
24.00;1.00;1.95;17.64;1.00;10705.08;160.00;0.00;0.00;0.00;10705.08;0.00;49.00
25.00;1.00;1.76;17.71;1.00;10967.08;160.00;0.00;0.00;0.00;10967.08;0.00;152.00
26.00;1.00;1.61;17.78;1.00;11171.48;160.00;0.00;0.00;0.00;11171.48;0.00;146.00
27.00;1.00;1.46;17.86;1.00;11336.31;160.00;0.00;0.00;0.00;11336.31;0.00;110.00
28.00;1.00;1.43;17.94;1.00;11489.37;160.00;0.00;0.00;0.00;11489.37;0.00;130.00
29.00;1.00;1.39;18.03;0.00;11593.50;0.00;0.00;0.00;0.00;11593.50;0.00;73.00
30.00;1.00;1.30;18.11;1.00;11781.35;160.00;0.00;0.00;0.00;11781.35;0.00;31.00
31.00;1.00;1.13;18.20;1.00;11821.05;202.00;698.56;0.00;0.00;11821.05;0.00;29.00
32.00;1.00;1.09;18.34;0.00;11493.99;0.00;1422.12;0.00;0.00;11493.99;0.00;50.00
33.00;1.00;1.20;18.49;1.00;11118.39;244.00;2113.69;0.00;0.00;11118.39;0.00;41.00
34.00;1.00;1.21;18.67;0.00;10418.52;0.00;2276.64;0.00;0.00;10418.52;0.00;8.00
35.00;1.00;1.25;18.79;1.00;10255.66;246.00;2112.34;0.00;0.00;10255.66;0.00;50.00
36.00;1.00;1.31;18.90;1.00;10169.72;244.00;1751.32;0.00;0.00;10169.72;0.00;50.00
37.00;1.00;1.28;18.98;0.00;10361.50;0.00;1253.25;0.00;0.00;10361.50;0.00;21.00
38.00;1.00;1.16;19.01;1.00;10292.70;228.00;756.20;0.00;0.00;10292.70;0.00;29.00
