datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;22.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;315.00
1.00;1.00;4.00;21.66;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;222.00
2.00;1.00;4.11;21.32;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;415.00
3.00;1.00;4.14;21.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;435.00
4.00;1.00;4.08;20.68;3.00;0.00;0.00;0.00;11221.05;0.18;11221.05;0.00;1103.00
5.00;1.00;4.04;20.36;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;649.00
6.00;1.00;4.01;20.05;1.00;5690.75;160.00;0.00;0.00;0.00;5690.75;0.00;287.00
7.00;1.00;4.06;20.00;3.00;7797.40;738.00;1135.60;0.00;0.00;7797.40;0.00;398.00
8.00;1.00;3.80;20.12;2.00;7587.00;480.00;1977.82;0.00;0.00;7587.00;0.00;493.00
9.00;0.80;4.23;20.24;4.00;7248.93;1000.00;3005.70;0.00;0.00;7248.93;0.00;520.00
10.00;0.80;4.66;20.42;2.00;6104.87;404.00;3384.30;0.00;0.00;6104.87;0.00;591.00
11.00;0.80;5.24;20.55;3.00;5713.67;654.00;3073.53;0.00;0.00;5713.67;0.00;274.00
12.00;0.80;4.18;20.67;5.00;5472.87;1020.00;2700.28;0.00;0.00;5472.87;0.00;437.00
13.00;0.40;3.89;20.75;3.00;5691.39;612.00;1946.12;0.00;0.00;5691.39;0.00;1634.00
14.00;0.60;4.04;20.79;5.00;6576.07;1230.00;978.90;0.00;0.00;6576.07;0.00;2949.00
15.00;0.80;4.07;20.85;2.00;7108.94;464.00;3.44;0.00;0.00;7108.94;0.00;1134.00
16.00;0.80;4.02;20.86;3.00;8375.18;696.00;0.00;0.00;0.00;8375.18;0.00;843.00
17.00;0.80;3.84;20.93;3.00;8759.15;654.00;0.00;0.00;0.00;8759.15;0.00;900.00
18.00;1.00;3.74;21.01;3.00;9004.57;636.00;0.00;0.00;0.00;9004.57;0.00;1350.00
19.00;1.00;3.44;21.10;4.00;9163.47;944.00;0.00;0.00;0.00;9163.47;0.00;3406.00
20.00;1.00;3.23;21.20;3.00;9145.12;702.00;0.00;0.00;0.00;9145.12;0.00;1520.00
21.00;1.00;3.10;21.29;4.00;9363.60;832.00;0.00;0.00;0.00;9363.60;0.00;1370.00
22.00;1.00;2.65;21.38;2.00;9428.35;444.00;0.00;0.00;0.00;9428.35;0.00;1054.00
23.00;1.00;2.13;21.45;2.00;3771.34;0.00;0.00;0.00;0.00;3771.34;0.00;464.00
24.00;1.00;1.95;21.25;4.00;1508.54;0.00;0.00;0.00;0.00;1508.54;0.00;383.00
25.00;1.00;1.76;20.95;2.00;603.41;0.00;0.00;0.00;0.00;603.41;0.00;241.00
26.00;1.00;1.61;20.61;5.00;6690.06;800.00;0.00;0.00;0.00;6690.06;0.00;841.00
27.00;1.00;1.46;20.58;2.00;8593.54;320.00;0.00;0.00;0.00;8593.54;0.00;760.00
28.00;1.00;1.43;20.60;4.00;9672.63;640.00;0.00;0.00;0.00;9672.63;0.00;367.00
29.00;1.00;1.39;20.68;3.00;9926.47;480.00;0.00;0.00;0.00;9926.47;0.00;265.00
30.00;1.00;1.30;20.76;2.00;10157.38;320.00;0.00;0.00;0.00;10157.38;0.00;174.00
31.00;1.00;1.13;20.85;5.00;10389.41;1110.00;1303.39;0.00;0.00;10389.41;0.00;278.00
32.00;1.00;1.09;21.03;1.00;9293.53;226.00;2064.52;0.00;0.00;9293.53;0.00;198.00
33.00;1.00;1.20;21.15;4.00;8986.75;976.00;2744.74;0.00;0.00;8986.75;0.00;296.00
34.00;1.00;1.21;21.32;2.00;8008.02;412.00;2725.02;0.00;0.00;8008.02;0.00;1619.00
35.00;1.00;1.25;21.42;3.00;8010.82;600.00;2351.92;0.00;0.00;8010.82;0.00;8297.00
36.00;1.00;1.31;21.51;4.00;8137.43;872.00;1816.50;0.00;0.00;8137.43;0.00;5369.00
37.00;1.00;1.28;21.59;4.00;8354.04;984.00;1306.65;0.00;0.00;8354.04;0.00;1489.00
38.00;1.00;1.16;21.67;4.00;8710.96;880.00;842.60;0.00;0.00;8710.96;0.00;1111.00
39.00;1.00;0.92;21.73;2.00;9245.89;468.00;4.10;0.00;0.00;9245.89;0.00;981.00
40.00;1.00;0.82;21.75;3.00;10288.79;750.00;0.00;0.00;0.00;10288.79;0.00;740.00
41.00;1.00;0.74;21.83;4.00;10572.24;928.00;0.00;0.00;0.00;10572.24;0.00;761.00
42.00;1.00;0.81;21.93;4.00;10620.53;872.00;0.00;0.00;0.00;10620.53;0.00;1117.00
43.00;1.00;0.75;22.03;4.00;10266.64;824.00;0.00;0.00;0.00;10266.64;0.00;1328.00
44.00;1.00;0.94;22.10;2.00;4106.66;0.00;0.00;21825.81;0.35;25932.46;0.00;1288.00
45.00;1.00;0.91;21.88;4.00;1642.66;0.00;0.00;0.00;0.00;1642.66;0.00;1188.00
46.00;1.00;1.04;21.55;3.00;7574.00;738.00;0.00;0.00;0.00;7574.00;0.00;965.00
47.00;1.00;1.19;21.52;4.00;9382.73;888.00;0.00;0.00;0.00;9382.73;0.00;689.00
48.00;1.00;0.98;21.58;3.00;9967.30;480.00;0.00;0.00;0.00;9967.30;0.00;465.00
49.00;1.00;0.98;21.64;1.00;10518.37;160.00;0.00;0.00;0.00;10518.37;0.00;152.00
50.00;1.00;0.93;21.71;4.00;4207.35;0.00;0.00;0.00;0.00;4207.35;0.00;165.00
51.00;1.00;0.94;21.50;3.00;8548.19;480.00;0.00;0.00;0.00;8548.19;0.00;979.00
52.00;1.00;0.94;21.50;3.00;9939.05;480.00;0.00;0.00;0.00;9939.05;0.00;1351.00
53.00;1.00;0.99;21.56;3.00;3975.62;0.00;0.00;0.00;0.00;3975.62;0.00;1994.00
54.00;1.00;0.92;21.34;2.00;8400.88;320.00;0.00;0.00;0.00;8400.88;0.00;1131.00
55.00;1.00;1.34;21.33;4.00;9938.58;984.00;501.17;0.00;0.00;9938.58;0.00;2232.00
56.00;1.00;1.69;21.44;3.00;9741.13;618.00;927.12;0.00;0.00;9741.13;0.00;2337.00
57.00;1.00;2.48;21.55;4.00;9565.44;832.00;1610.53;0.00;0.00;9565.44;0.00;1688.00
58.00;1.00;3.39;21.71;3.00;8777.15;690.00;1944.28;0.00;0.00;8777.15;0.00;1536.00
59.00;1.00;3.82;21.86;3.00;8149.10;666.00;1931.13;0.00;0.00;8149.10;0.00;160.00
60.00;1.00;3.68;21.98;4.00;7843.57;840.00;1425.42;0.00;0.00;7843.57;0.00;156.00
61.00;1.00;2.75;22.07;3.00;6919.27;606.00;1378.31;0.00;0.00;6919.27;0.00;204.00
62.00;1.00;3.29;22.08;5.00;2767.71;0.00;0.00;0.00;0.00;2767.71;0.00;62.00
63.00;1.00;3.03;21.85;3.00;1107.08;0.00;0.00;0.00;0.00;1107.08;0.00;251.00
64.00;1.00;2.32;21.54;4.00;6793.40;856.00;0.00;0.00;0.00;6793.40;0.00;1165.00
65.00;1.00;1.37;21.50;4.00;8659.27;936.00;0.00;0.00;0.00;8659.27;0.00;845.00
66.00;1.00;0.87;21.54;3.00;9598.76;690.00;0.00;0.00;0.00;9598.76;0.00;805.00
67.00;1.00;0.59;21.59;4.00;10262.51;896.00;0.00;0.00;0.00;10262.51;0.00;1256.00
68.00;1.00;0.33;21.67;2.00;10490.82;408.00;0.00;0.00;0.00;10490.82;0.00;1514.00
69.00;1.00;-0.21;21.74;4.00;10965.14;864.00;0.00;0.00;0.00;10965.14;0.00;1242.00
70.00;1.00;-0.56;21.83;2.00;11042.10;484.00;0.00;0.00;0.00;11042.10;0.00;1033.00
71.00;1.00;-0.53;21.91;4.00;4416.84;0.00;0.00;0.00;0.00;4416.84;0.00;1177.00
72.00;1.00;-0.75;21.67;4.00;1766.74;0.00;0.00;0.00;0.00;1766.74;0.00;479.00
73.00;1.00;-0.68;21.32;2.00;8006.88;320.00;0.00;0.00;0.00;8006.88;0.00;269.00
74.00;1.00;-0.61;21.26;4.00;10200.61;640.00;0.00;0.00;0.00;10200.61;0.00;359.00
75.00;1.00;-0.66;21.32;2.00;4080.25;0.00;0.00;0.00;0.00;4080.25;0.00;166.00
76.00;1.00;-0.82;21.08;3.00;1632.10;0.00;0.00;0.00;0.00;1632.10;0.00;183.00
77.00;1.00;-0.64;20.73;3.00;7814.49;480.00;0.00;0.00;0.00;7814.49;0.00;189.00
78.00;1.00;-0.35;20.69;2.00;9860.59;320.00;0.00;0.00;0.00;9860.59;0.00;712.00
79.00;1.00;0.29;20.73;4.00;10684.94;968.00;1440.50;0.00;0.00;10684.94;0.00;208.00
80.00;1.00;0.87;20.90;3.00;9603.43;714.00;2117.46;0.00;0.00;9603.43;0.00;272.00
81.00;0.40;1.57;21.06;4.00;8812.83;816.00;2288.26;0.00;0.00;8812.83;0.00;192.00
82.00;0.40;3.02;21.21;3.00;8189.67;648.00;1963.05;0.00;0.00;8189.67;0.00;1712.00
83.00;0.40;4.09;21.33;4.00;7891.62;928.00;1973.55;0.00;0.00;7891.62;0.00;1104.00
84.00;0.80;4.07;21.47;4.00;7348.41;832.00;2250.07;0.00;0.00;7348.41;0.00;994.00
85.00;0.60;4.35;21.59;2.00;7065.65;464.00;2043.26;0.00;0.00;7065.65;0.00;537.00
86.00;0.80;4.41;21.67;4.00;7254.62;856.00;1073.78;0.00;0.00;7254.62;0.00;419.00
87.00;0.80;4.27;21.74;3.00;7682.31;654.00;4.64;0.00;0.00;7682.31;0.00;510.00
88.00;0.80;3.92;21.77;3.00;8672.86;690.00;0.00;0.00;0.00;8672.86;0.00;720.00
89.00;1.00;3.18;21.84;3.00;9149.62;600.00;0.00;11468.98;0.18;20618.61;0.00;1809.00
90.00;1.00;2.76;21.90;3.00;9606.12;714.00;0.00;0.00;0.00;9606.12;0.00;3432.00
91.00;1.00;3.15;21.99;5.00;9796.42;1150.00;0.00;0.00;0.00;9796.42;0.00;1284.00
92.00;1.00;3.32;22.10;3.00;8382.50;726.00;0.00;0.00;0.00;8382.50;0.00;1789.00
93.00;1.00;3.24;22.14;5.00;3353.00;0.00;0.00;0.00;0.00;3353.00;0.00;1635.00
94.00;1.00;2.99;21.93;3.00;1341.20;0.00;0.00;0.00;0.00;1341.20;0.00;1929.00
95.00;1.00;2.44;21.62;3.00;6567.59;684.00;0.00;0.00;0.00;6567.59;0.00;842.00
96.00;1.00;1.11;21.57;4.00;8661.93;640.00;0.00;0.00;0.00;8661.93;0.00;225.00
97.00;1.00;0.74;21.59;3.00;3464.77;0.00;0.00;0.00;0.00;3464.77;0.00;280.00
98.00;1.00;0.95;21.34;4.00;1385.91;0.00;0.00;12350.69;0.20;13736.60;0.00;100.00
99.00;1.00;0.22;21.01;3.00;554.36;0.00;0.00;0.00;0.00;554.36;0.00;168.00
100.00;1.00;0.08;20.64;4.00;7090.76;640.00;0.00;0.00;0.00;7090.76;0.00;142.00
101.00;1.00;-0.19;20.59;4.00;2836.31;0.00;0.00;0.00;0.00;2836.31;0.00;198.00
102.00;1.00;0.17;20.32;3.00;7999.30;480.00;0.00;0.00;0.00;7999.30;0.00;76.00
