datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;868.00
1.00;1.00;4.00;19.54;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;813.00
2.00;1.00;4.11;19.09;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;436.00
3.00;1.00;4.14;18.66;4.00;7219.09;640.00;0.00;0.00;0.00;7219.09;0.00;646.00
4.00;1.00;4.08;18.58;6.00;9539.44;960.00;0.00;0.00;0.00;9539.44;0.00;369.00
5.00;1.00;4.04;18.63;6.00;10271.17;960.00;0.00;0.00;0.00;10271.17;0.00;280.00
6.00;1.00;4.01;18.71;5.00;10597.32;800.00;0.00;0.00;0.00;10597.32;0.00;810.00
7.00;1.00;4.06;18.79;6.00;10865.21;1248.00;1541.52;0.00;0.00;10865.21;0.00;430.00
8.00;0.75;3.80;18.97;3.00;9793.25;654.00;2588.49;0.00;0.00;9793.25;0.00;770.00
9.00;0.75;4.23;19.10;6.00;9261.18;1440.00;3832.04;0.00;0.00;9261.18;0.00;1220.00
10.00;0.38;4.66;19.32;6.00;7717.51;1272.00;4206.79;0.00;0.00;7717.51;0.00;3725.00
11.00;0.50;5.24;19.48;6.00;6893.26;1428.00;3724.78;0.00;0.00;6893.26;0.00;3280.00
12.00;0.62;4.18;19.60;7.00;6592.58;1414.00;3175.80;0.00;0.00;6592.58;0.00;4680.00
13.00;0.62;3.89;19.65;4.00;7273.06;816.00;2303.86;0.00;0.00;7273.06;0.00;2016.00
14.00;0.50;4.04;19.66;7.00;7423.01;1736.00;1172.90;0.00;0.00;7423.01;0.00;2628.00
15.00;0.75;4.07;19.66;4.00;8691.11;952.00;4.61;0.00;0.00;8691.11;0.00;2630.00
16.00;0.62;4.02;19.64;6.00;9791.12;1248.00;0.00;0.00;0.00;9791.12;0.00;2284.00
17.00;0.88;3.84;19.68;7.00;10634.69;1596.00;0.00;0.00;0.00;10634.69;0.00;2261.00
18.00;1.00;3.74;19.76;6.00;10848.74;1380.00;0.00;0.00;0.00;10848.74;0.00;3579.00
19.00;1.00;3.44;19.84;7.00;11138.83;1708.00;0.00;0.00;0.00;11138.83;0.00;1530.00
20.00;1.00;3.23;19.94;3.00;11206.96;696.00;0.00;0.00;0.00;11206.96;0.00;1824.00
21.00;1.00;3.10;19.98;7.00;11482.68;1568.00;0.00;0.00;0.00;11482.68;0.00;2463.00
22.00;1.00;2.65;20.07;5.00;10532.00;1130.00;0.00;0.00;0.00;10532.00;0.00;2084.00
23.00;1.00;2.13;20.08;5.00;4212.80;0.00;0.00;0.00;0.00;4212.80;0.00;1799.00
24.00;1.00;1.95;19.75;4.00;1685.12;0.00;0.00;0.00;0.00;1685.12;0.00;841.00
25.00;1.00;1.76;19.31;3.00;8997.17;480.00;0.00;0.00;0.00;8997.17;0.00;478.00
26.00;1.00;1.61;19.23;6.00;11538.10;960.00;0.00;0.00;0.00;11538.10;0.00;517.00
27.00;1.00;1.46;19.27;5.00;12288.50;800.00;0.00;0.00;0.00;12288.50;0.00;437.00
28.00;1.00;1.43;19.34;6.00;4915.40;0.00;0.00;0.00;0.00;4915.40;0.00;268.00
29.00;1.00;1.39;19.04;6.00;1966.16;0.00;0.00;0.00;0.00;1966.16;0.00;2796.00
30.00;1.00;1.30;18.61;5.00;9050.08;800.00;0.00;26069.16;0.42;35119.24;0.00;3466.00
31.00;1.00;1.13;18.55;6.00;11270.55;1416.00;1784.51;0.00;0.00;11270.55;0.00;1132.00
32.00;1.00;1.09;18.69;3.00;10760.90;648.00;2716.91;0.00;0.00;10760.90;0.00;1832.00
33.00;1.00;1.20;18.80;7.00;10528.16;1442.00;3518.20;0.00;0.00;10528.16;0.00;562.00
34.00;1.00;1.21;18.98;5.00;9479.10;1060.00;3409.83;0.00;0.00;9479.10;0.00;2488.00
35.00;1.00;1.25;19.09;5.00;9421.86;1000.00;2873.26;0.00;0.00;9421.86;0.00;2377.00
36.00;1.00;1.31;19.16;6.00;9780.06;1500.00;2162.24;0.00;0.00;9780.06;0.00;1593.00
37.00;1.00;1.28;19.24;4.00;10054.93;992.00;1551.20;0.00;0.00;10054.93;0.00;1505.00
38.00;1.00;1.16;19.28;7.00;10881.34;1484.00;1009.65;0.00;0.00;10881.34;0.00;1919.00
39.00;1.00;0.92;19.35;5.00;11304.06;1090.00;5.50;0.00;0.00;11304.06;0.00;1329.00
40.00;1.00;0.82;19.36;7.00;12431.68;1610.00;0.00;0.00;0.00;12431.68;0.00;1746.00
41.00;1.00;0.74;19.45;6.00;12619.89;1368.00;0.00;0.00;0.00;12619.89;0.00;1640.00
42.00;1.00;0.81;19.53;4.00;12904.85;824.00;0.00;0.00;0.00;12904.85;0.00;5067.00
43.00;1.00;0.75;19.60;7.00;13347.61;1400.00;0.00;0.00;0.00;13347.61;0.00;6135.00
44.00;1.00;0.94;19.71;3.00;13229.72;624.00;0.00;0.00;0.00;13229.72;0.00;2698.00
45.00;1.00;0.91;19.78;6.00;13618.83;1236.00;0.00;0.00;0.00;13618.83;0.00;2077.00
46.00;1.00;1.04;19.89;5.00;13447.47;1160.00;0.00;0.00;0.00;13447.47;0.00;1688.00
47.00;1.00;1.19;19.99;5.00;13416.76;1000.00;0.00;0.00;0.00;13416.76;0.00;1671.00
48.00;1.00;0.98;20.09;7.00;12239.14;1120.00;0.00;0.00;0.00;12239.14;0.00;1944.00
49.00;1.00;0.98;20.13;4.00;4895.66;0.00;0.00;0.00;0.00;4895.66;0.00;751.00
50.00;1.00;0.93;19.79;7.00;1958.26;0.00;0.00;0.00;0.00;1958.26;0.00;352.00
51.00;1.00;0.94;19.33;4.00;9519.76;640.00;0.00;0.00;0.00;9519.76;0.00;1055.00
52.00;1.00;0.94;19.25;6.00;3807.90;0.00;0.00;0.00;0.00;3807.90;0.00;1347.00
53.00;1.00;0.99;18.89;5.00;10046.50;800.00;0.00;0.00;0.00;10046.50;0.00;338.00
54.00;1.00;0.92;18.85;4.00;11901.74;640.00;0.00;0.00;0.00;11901.74;0.00;236.00
55.00;1.00;1.34;18.89;7.00;12750.90;1582.00;677.93;0.00;0.00;12750.90;0.00;433.00
56.00;1.00;1.69;19.05;3.00;11968.94;684.00;1212.63;0.00;0.00;11968.94;0.00;395.00
57.00;1.00;2.48;19.16;7.00;11800.95;1540.00;2054.96;0.00;0.00;11800.95;0.00;452.00
58.00;1.00;3.39;19.36;5.00;10447.98;1140.00;2422.72;0.00;0.00;10447.98;0.00;378.00
59.00;1.00;3.82;19.52;5.00;9649.44;1050.00;2348.35;0.00;0.00;9649.44;0.00;585.00
60.00;1.00;3.68;19.65;6.00;9320.25;1212.00;1690.59;25899.86;0.41;35220.11;0.00;1964.00
61.00;1.00;2.75;19.73;3.00;9591.04;654.00;1646.58;0.00;0.00;9591.04;0.00;1036.00
62.00;1.00;3.29;19.76;7.00;10454.31;1568.00;1219.88;0.00;0.00;10454.31;0.00;796.00
63.00;1.00;3.03;19.87;4.00;10312.55;920.00;5.37;0.00;0.00;10312.55;0.00;530.00
64.00;1.00;2.32;19.88;5.00;11518.99;1140.00;0.00;0.00;0.00;11518.99;0.00;540.00
65.00;1.00;1.37;19.94;5.00;12153.89;1230.00;0.00;0.00;0.00;12153.89;0.00;1422.00
66.00;1.00;0.87;19.99;4.00;12256.46;992.00;0.00;0.00;0.00;12256.46;0.00;2166.00
67.00;1.00;0.59;20.03;7.00;11894.22;1512.00;0.00;0.00;0.00;11894.22;0.00;3179.00
68.00;1.00;0.33;20.06;5.00;4757.69;0.00;0.00;0.00;0.00;4757.69;0.00;2630.00
69.00;1.00;-0.21;19.70;7.00;1903.07;0.00;0.00;0.00;0.00;1903.07;0.00;2332.00
70.00;1.00;-0.56;19.21;5.00;9909.45;1250.00;0.00;0.00;0.00;9909.45;0.00;1450.00
71.00;1.00;-0.53;19.13;5.00;12307.70;1080.00;0.00;0.00;0.00;12307.70;0.00;941.00
72.00;1.00;-0.75;19.16;7.00;4923.08;0.00;0.00;0.00;0.00;4923.08;0.00;817.00
73.00;1.00;-0.68;18.80;4.00;11118.27;640.00;0.00;0.00;0.00;11118.27;0.00;561.00
74.00;1.00;-0.61;18.76;7.00;13045.42;1120.00;0.00;0.00;0.00;13045.42;0.00;456.00
75.00;1.00;-0.66;18.83;5.00;13481.19;800.00;0.00;0.00;0.00;13481.19;0.00;389.00
76.00;1.00;-0.82;18.90;6.00;13893.22;960.00;0.00;0.00;0.00;13893.22;0.00;269.00
77.00;1.00;-0.64;18.98;6.00;14054.71;960.00;0.00;0.00;0.00;14054.71;0.00;338.00
78.00;1.00;-0.35;19.08;5.00;14082.49;800.00;0.00;0.00;0.00;14082.49;0.00;372.00
79.00;1.00;0.29;19.18;7.00;14112.64;1652.00;1955.20;0.00;0.00;14112.64;0.00;1519.00
80.00;1.00;0.87;19.42;3.00;12227.84;648.00;2769.68;0.00;0.00;12227.84;0.00;576.00
81.00;0.88;1.57;19.58;6.00;11456.82;1308.00;2920.58;0.00;0.00;11456.82;0.00;2750.00
82.00;0.75;3.02;19.75;4.00;10449.15;856.00;2450.10;0.00;0.00;10449.15;0.00;1648.00
83.00;0.62;4.09;19.88;5.00;9146.24;1100.00;2403.69;0.00;0.00;9146.24;0.00;412.00
84.00;0.50;4.07;19.98;7.00;6534.91;1470.00;2656.97;0.00;0.00;6534.91;0.00;616.00
85.00;0.75;4.35;19.99;4.00;5626.58;856.00;2423.11;0.00;0.00;5626.58;0.00;806.00
86.00;0.62;4.41;19.94;8.00;4907.22;1792.00;1290.25;0.00;0.00;4907.22;0.00;584.00
87.00;0.75;4.27;19.84;4.00;5787.47;920.00;6.22;0.00;0.00;5787.47;0.00;417.00
88.00;0.75;3.92;19.69;6.00;8085.38;1356.00;0.00;0.00;0.00;8085.38;0.00;1240.00
89.00;1.00;3.18;19.65;4.00;9947.82;944.00;0.00;0.00;0.00;9947.82;0.00;1500.00
90.00;1.00;2.76;19.66;3.00;11214.18;726.00;0.00;0.00;0.00;11214.18;0.00;2150.00
91.00;1.00;3.15;19.70;6.00;12019.03;1464.00;0.00;0.00;0.00;12019.03;0.00;2830.00
92.00;1.00;3.32;19.82;3.00;11761.09;684.00;0.00;0.00;0.00;11761.09;0.00;2174.00
93.00;1.00;3.24;19.89;8.00;12108.28;1728.00;0.00;0.00;0.00;12108.28;0.00;2353.00
94.00;1.00;2.99;20.02;4.00;11680.58;936.00;0.00;0.00;0.00;11680.58;0.00;1848.00
95.00;1.00;2.44;20.09;6.00;4672.23;0.00;0.00;0.00;0.00;4672.23;0.00;1127.00
96.00;1.00;1.11;19.79;6.00;1868.89;0.00;0.00;0.00;0.00;1868.89;0.00;740.00
97.00;1.00;0.74;19.33;4.00;9412.32;640.00;0.00;0.00;0.00;9412.32;0.00;554.00
