datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;346.00
1.00;1.00;4.00;18.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;355.00
2.00;1.00;4.11;17.95;1.00;8784.61;160.00;0.00;0.00;0.00;8784.61;0.00;90.00
3.00;1.00;4.14;17.84;1.00;11887.09;160.00;0.00;0.00;0.00;11887.09;0.00;112.00
4.00;1.00;4.08;17.85;1.00;13050.52;160.00;0.00;0.00;0.00;13050.52;0.00;114.00
5.00;1.00;4.04;17.92;1.00;13555.86;160.00;0.00;0.00;0.00;13555.86;0.00;130.00
6.00;1.00;4.01;18.00;0.00;13810.95;0.00;0.00;0.00;0.00;13810.95;0.00;190.00
7.00;1.00;4.06;18.08;1.00;14065.95;230.00;1386.29;0.00;0.00;14065.95;0.00;131.00
8.00;1.00;3.80;18.24;0.00;13218.13;0.00;2414.47;0.00;0.00;13218.13;0.00;132.00
9.00;1.00;4.23;18.38;1.00;12608.81;244.00;3669.32;0.00;0.00;12608.81;0.00;150.00
10.00;0.00;4.66;18.57;1.00;5043.53;244.00;4131.57;0.00;0.00;5043.53;0.00;59.00
11.00;1.00;5.24;18.48;0.00;7897.52;0.00;3752.22;0.00;0.00;7897.52;0.00;109.00
12.00;1.00;4.18;18.49;1.00;9064.63;220.00;3296.61;0.00;0.00;9064.63;0.00;322.00
13.00;1.00;3.89;18.51;0.00;10221.40;0.00;2375.67;0.00;0.00;10221.40;0.00;456.00
14.00;1.00;4.04;18.52;1.00;11528.45;232.00;1195.00;17443.01;0.28;28971.46;0.00;997.00
15.00;1.00;4.07;18.55;1.00;12547.54;236.00;4.20;0.00;0.00;12547.54;0.00;783.00
16.00;1.00;4.02;18.57;1.00;13666.44;224.00;0.00;0.00;0.00;13666.44;0.00;165.00
17.00;0.00;3.84;18.64;1.00;5466.58;244.00;0.00;0.00;0.00;5466.58;0.00;354.00
