datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;378.00
1.00;1.00;4.00;19.59;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;169.00
2.00;1.00;4.11;19.20;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;263.00
3.00;1.00;4.14;18.82;2.00;4984.82;320.00;0.00;0.00;0.00;4984.82;0.00;220.00
4.00;1.00;4.08;18.75;3.00;6677.22;480.00;0.00;0.00;0.00;6677.22;0.00;223.00
5.00;1.00;4.04;18.80;3.00;7257.16;480.00;0.00;0.00;0.00;7257.16;0.00;292.00
6.00;1.00;4.01;18.87;3.00;7510.95;480.00;0.00;0.00;0.00;7510.95;0.00;908.00
7.00;1.00;4.06;18.96;4.00;7640.05;896.00;772.28;5802.23;0.09;13442.29;0.00;420.00
8.00;1.00;3.80;19.12;3.00;6990.39;630.00;1690.78;0.00;0.00;6990.39;0.00;379.00
9.00;0.75;4.23;19.27;3.00;6447.52;720.00;2854.30;0.00;0.00;6447.52;0.00;497.00
10.00;0.50;4.66;19.47;3.00;5406.06;732.00;3485.23;0.00;0.00;5406.06;0.00;1369.00
11.00;0.75;5.24;19.66;2.00;4544.96;488.00;3408.58;0.00;0.00;4544.96;0.00;1005.00
12.00;0.50;4.18;19.78;4.00;4287.35;1000.00;3231.88;0.00;0.00;4287.35;0.00;1509.00
13.00;0.75;3.89;19.88;3.00;4293.59;738.00;2255.57;0.00;0.00;4293.59;0.00;4332.00
14.00;1.00;4.04;19.90;4.00;5142.36;824.00;1055.19;0.00;0.00;5142.36;0.00;5487.00
15.00;1.00;4.07;19.91;3.00;6115.32;690.00;3.44;0.00;0.00;6115.32;0.00;1183.00
16.00;0.75;4.02;19.90;3.00;5973.67;606.00;0.00;0.00;0.00;5973.67;0.00;797.00
17.00;0.75;3.84;19.88;3.00;6009.84;696.00;0.00;0.00;0.00;6009.84;0.00;1373.00
18.00;1.00;3.74;19.86;3.00;7218.38;642.00;0.00;0.00;0.00;7218.38;0.00;1688.00
19.00;1.00;3.44;19.91;3.00;7757.81;612.00;0.00;0.00;0.00;7757.81;0.00;2015.00
20.00;1.00;3.23;19.98;3.00;7973.49;612.00;0.00;0.00;0.00;7973.49;0.00;1811.00
21.00;1.00;3.10;20.05;4.00;7423.07;856.00;0.00;11147.84;0.18;18570.91;0.00;1349.00
22.00;1.00;2.65;20.10;3.00;2969.23;0.00;0.00;0.00;0.00;2969.23;0.00;1574.00
23.00;1.00;2.13;19.83;3.00;1187.69;0.00;0.00;0.00;0.00;1187.69;0.00;868.00
24.00;1.00;1.95;19.46;3.00;6143.94;480.00;0.00;0.00;0.00;6143.94;0.00;517.00
25.00;1.00;1.76;19.40;2.00;7786.58;320.00;0.00;0.00;0.00;7786.58;0.00;257.00
26.00;1.00;1.61;19.42;3.00;3114.63;0.00;0.00;0.00;0.00;3114.63;0.00;216.00
27.00;1.00;1.46;19.15;2.00;1245.85;0.00;0.00;0.00;0.00;1245.85;0.00;202.00
28.00;1.00;1.43;18.77;3.00;6162.96;480.00;0.00;0.00;0.00;6162.96;0.00;240.00
29.00;1.00;1.39;18.72;3.00;7751.68;480.00;0.00;0.00;0.00;7751.68;0.00;300.00
30.00;1.00;1.30;18.76;2.00;8384.86;320.00;0.00;6908.13;0.11;15292.99;0.00;192.00
31.00;1.00;1.13;18.82;3.00;8765.82;702.00;849.41;0.00;0.00;8765.82;0.00;282.00
32.00;1.00;1.09;18.97;2.00;8240.99;460.00;1728.89;0.00;0.00;8240.99;0.00;507.00
33.00;1.00;1.20;19.13;3.00;7698.70;702.00;2569.47;0.00;0.00;7698.70;0.00;464.00
34.00;1.00;1.21;19.31;2.00;6842.28;432.00;2767.44;0.00;0.00;6842.28;0.00;1707.00
35.00;1.00;1.25;19.43;2.00;6589.98;500.00;2567.65;0.00;0.00;6589.98;0.00;2709.00
36.00;1.00;1.31;19.53;3.00;6588.92;732.00;2128.74;0.00;0.00;6588.92;0.00;4450.00
37.00;1.00;1.28;19.62;2.00;6722.91;416.00;1523.29;0.00;0.00;6722.91;0.00;1561.00
38.00;1.00;1.16;19.66;4.00;7361.41;856.00;919.11;0.00;0.00;7361.41;0.00;2763.00
39.00;1.00;0.92;19.72;2.00;7756.87;488.00;4.10;0.00;0.00;7756.87;0.00;635.00
40.00;1.00;0.82;19.72;3.00;8763.05;726.00;0.00;0.00;0.00;8763.05;0.00;579.00
41.00;1.00;0.74;19.79;2.00;9052.14;428.00;0.00;0.00;0.00;9052.14;0.00;797.00
42.00;1.00;0.81;19.86;2.00;9386.02;460.00;0.00;0.00;0.00;9386.02;0.00;719.00
43.00;1.00;0.75;19.95;4.00;9499.01;936.00;0.00;0.00;0.00;9499.01;0.00;820.00
44.00;1.00;0.94;20.07;2.00;8769.44;464.00;0.00;0.00;0.00;8769.44;0.00;1229.00
45.00;1.00;0.91;20.12;4.00;3507.78;0.00;0.00;0.00;0.00;3507.78;0.00;1482.00
46.00;1.00;1.04;19.84;1.00;1403.11;0.00;0.00;0.00;0.00;1403.11;0.00;695.00
47.00;1.00;1.19;19.44;2.00;6517.40;460.00;0.00;0.00;0.00;6517.40;0.00;440.00
48.00;1.00;0.98;19.39;3.00;8143.02;480.00;0.00;0.00;0.00;8143.02;0.00;1114.00
49.00;1.00;0.98;19.42;2.00;3257.21;0.00;0.00;0.00;0.00;3257.21;0.00;809.00
50.00;1.00;0.93;19.14;3.00;7164.73;480.00;0.00;0.00;0.00;7164.73;0.00;958.00
51.00;1.00;0.94;19.13;2.00;8379.46;320.00;0.00;0.00;0.00;8379.46;0.00;760.00
52.00;1.00;0.94;19.17;3.00;3351.79;0.00;0.00;0.00;0.00;3351.79;0.00;394.00
53.00;1.00;0.99;18.90;2.00;1340.71;0.00;0.00;0.00;0.00;1340.71;0.00;510.00
54.00;1.00;0.92;18.53;2.00;6260.50;320.00;0.00;0.00;0.00;6260.50;0.00;782.00
