datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;18.00;16.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1555.00
1.00;1.00;4.00;17.64;10.00;10206.70;1600.00;0.00;0.00;0.00;10206.70;0.00;885.00
2.00;1.00;4.11;17.61;15.00;13076.24;2400.00;0.00;0.00;0.00;13076.24;0.00;3370.00
3.00;1.00;4.14;17.68;8.00;13666.08;1280.00;0.00;0.00;0.00;13666.08;0.00;3470.00
4.00;1.00;4.08;17.74;12.00;14595.17;1920.00;0.00;0.00;0.00;14595.17;0.00;589.00
5.00;1.00;4.04;17.84;13.00;14649.69;2080.00;0.00;0.00;0.00;14649.69;0.00;576.00
6.00;1.00;4.01;17.94;11.00;14653.31;1760.00;0.00;0.00;0.00;14653.31;0.00;3454.00
7.00;0.89;4.06;18.02;14.00;13207.70;3080.00;2007.02;19636.21;0.31;32843.91;0.00;2758.00
8.00;0.94;3.80;18.16;8.00;5283.08;0.00;0.00;0.00;0.00;5283.08;0.00;684.00
9.00;0.83;4.23;17.94;13.00;2113.23;0.00;0.00;0.00;0.00;2113.23;0.00;798.00
10.00;0.72;4.66;17.64;10.00;7488.49;2080.00;5477.69;0.00;0.00;7488.49;0.00;1719.00
11.00;0.78;5.24;17.72;12.00;8041.82;2400.00;4850.16;0.00;0.00;8041.82;0.00;4180.00
12.00;0.44;4.18;17.81;14.00;7221.36;3024.00;4135.40;0.00;0.00;7221.36;0.00;2928.00
13.00;0.44;3.89;17.85;9.00;6279.53;2088.00;2999.77;0.00;0.00;6279.53;0.00;974.00
14.00;0.56;4.04;17.80;15.00;7053.36;3570.00;1527.21;0.00;0.00;7053.36;0.00;1495.00
15.00;0.94;4.07;17.78;10.00;9785.32;2040.00;6.01;0.00;0.00;9785.32;0.00;1279.00
16.00;0.72;4.02;17.75;14.00;12211.94;3164.00;0.00;0.00;0.00;12211.94;0.00;2189.00
17.00;0.89;3.84;17.81;12.00;12986.64;2400.00;0.00;0.00;0.00;12986.64;0.00;3732.00
18.00;1.00;3.74;17.87;10.00;13894.28;2160.00;0.00;0.00;0.00;13894.28;0.00;3322.00
19.00;1.00;3.44;17.94;17.00;14495.61;3570.00;0.00;0.00;0.00;14495.61;0.00;4194.00
20.00;1.00;3.23;18.06;8.00;13177.38;2000.00;0.00;0.00;0.00;13177.38;0.00;4263.00
