datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3585.00
1.00;1.00;4.00;18.08;22.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2660.00
2.00;1.00;4.11;17.22;37.00;31196.60;5920.00;0.00;0.00;0.00;31196.60;0.00;2755.00
3.00;1.00;4.14;17.10;23.00;38201.88;3680.00;0.00;0.00;0.00;38201.88;0.00;2813.00
4.00;1.00;4.08;17.08;31.00;42046.78;4960.00;0.00;0.00;0.00;42046.78;0.00;4727.00
5.00;1.00;4.04;17.16;29.00;42899.02;4640.00;0.00;0.00;0.00;42899.02;0.00;2330.00
6.00;1.00;4.01;17.23;22.00;43656.69;3520.00;0.00;0.00;0.00;43656.69;0.00;1434.00
7.00;0.91;4.06;17.30;38.00;44843.31;8436.00;8914.14;109104.96;1.74;153948.27;0.00;1912.00
8.00;0.76;3.80;17.64;21.00;37060.58;4914.00;13013.24;0.00;0.00;37060.58;0.00;2587.00
9.00;0.84;4.23;17.81;35.00;34774.76;8470.00;17352.56;0.00;0.00;34774.76;0.00;5536.00
10.00;0.76;4.66;18.10;27.00;28611.32;5886.00;17053.62;0.00;0.00;28611.32;0.00;9580.00
11.00;0.62;5.24;18.23;30.00;27606.85;7140.00;13276.51;0.00;0.00;27606.85;0.00;9404.00
12.00;0.60;4.18;18.32;35.00;27814.65;8400.00;9455.55;0.00;0.00;27814.65;0.00;8289.00
13.00;0.60;3.89;18.30;19.00;31726.04;3952.00;7319.22;0.00;0.00;31726.04;0.00;4953.00
14.00;0.53;4.04;18.21;38.00;36449.30;9196.00;4184.43;0.00;0.00;36449.30;0.00;7494.00
15.00;0.78;4.07;18.27;21.00;37936.06;5250.00;22.91;0.00;0.00;37936.06;0.00;5915.00
16.00;0.91;4.02;18.20;30.00;43442.46;6960.00;0.00;0.00;0.00;43442.46;0.00;4583.00
17.00;0.96;3.84;18.26;32.00;44587.04;7616.00;0.00;0.00;0.00;44587.04;0.00;7706.00
18.00;1.00;3.74;18.35;27.00;45138.06;5940.00;0.00;0.00;0.00;45138.06;0.00;5654.00
19.00;1.00;3.44;18.40;38.00;46741.53;7980.00;0.00;0.00;0.00;46741.53;0.00;9891.00
20.00;1.00;3.23;18.49;24.00;46858.64;5376.00;0.00;0.00;0.00;46858.64;0.00;9971.00
21.00;1.00;3.10;18.53;36.00;49065.44;8280.00;0.00;0.00;0.00;49065.44;0.00;7817.00
22.00;1.00;2.65;18.64;29.00;48519.03;5916.00;0.00;0.00;0.00;48519.03;0.00;4870.00
23.00;1.00;2.13;18.67;29.00;50847.86;7134.00;0.00;0.00;0.00;50847.86;0.00;6122.00
24.00;1.00;1.95;18.73;36.00;52141.13;5760.00;0.00;0.00;0.00;52141.13;0.00;2377.00
25.00;1.00;1.76;18.78;21.00;53962.56;3360.00;0.00;0.00;0.00;53962.56;0.00;4084.00
26.00;1.00;1.61;18.79;40.00;56603.76;6400.00;0.00;0.00;0.00;56603.76;0.00;1657.00
27.00;1.00;1.46;18.91;26.00;56158.47;4160.00;0.00;0.00;0.00;56158.47;0.00;1537.00
28.00;1.00;1.43;18.96;32.00;57602.22;5120.00;0.00;0.00;0.00;57602.22;0.00;2534.00
29.00;1.00;1.39;19.04;34.00;56202.65;5440.00;0.00;0.00;0.00;56202.65;0.00;3795.00
30.00;1.00;1.30;19.10;30.00;22481.06;0.00;0.00;0.00;0.00;22481.06;0.00;3707.00
31.00;1.00;1.13;18.43;37.00;8992.42;0.00;0.00;0.00;0.00;8992.42;0.00;2582.00
32.00;1.00;1.09;17.54;17.00;41185.58;3910.00;13923.07;0.00;0.00;41185.58;0.00;4508.00
33.00;1.00;1.20;17.62;32.00;41674.38;7936.00;16250.37;0.00;0.00;41674.38;0.00;6942.00
34.00;1.00;1.21;17.84;28.00;38000.08;5712.00;14199.48;0.00;0.00;38000.08;0.00;10685.00
35.00;1.00;1.25;17.89;29.00;39512.06;6902.00;10639.58;0.00;0.00;39512.06;0.00;6522.00
36.00;1.00;1.31;17.93;38.00;41555.49;8816.00;6899.91;0.00;0.00;41555.49;0.00;6808.00
37.00;1.00;1.28;17.97;25.00;43421.06;5700.00;4945.62;110210.64;1.76;153631.69;0.00;7569.00
38.00;1.00;1.16;17.95;37.00;47364.07;7696.00;3562.35;0.00;0.00;47364.07;0.00;7922.00
39.00;1.00;0.92;18.01;23.00;48770.25;5520.00;27.31;0.00;0.00;48770.25;0.00;4568.00
40.00;1.00;0.82;17.96;32.00;53342.16;7488.00;0.00;0.00;0.00;53342.16;0.00;3628.00
41.00;1.00;0.74;18.04;31.00;54124.73;7006.00;0.00;0.00;0.00;54124.73;0.00;6732.00
42.00;1.00;0.81;18.11;24.00;55033.74;4896.00;0.00;0.00;0.00;55033.74;0.00;4941.00
43.00;1.00;0.75;18.16;39.00;56661.55;9750.00;0.00;0.00;0.00;56661.55;0.00;7199.00
44.00;1.00;0.94;18.32;22.00;54622.32;4444.00;0.00;0.00;0.00;54622.32;0.00;8670.00
45.00;1.00;0.91;18.35;36.00;56948.81;8856.00;0.00;0.00;0.00;56948.81;0.00;6595.00
46.00;1.00;1.04;18.50;27.00;55350.83;5724.00;0.00;0.00;0.00;55350.83;0.00;5251.00
47.00;1.00;1.19;18.56;27.00;56624.06;5994.00;0.00;0.00;0.00;56624.06;0.00;3884.00
48.00;1.00;0.98;18.66;38.00;56783.32;6080.00;0.00;0.00;0.00;56783.32;0.00;2891.00
49.00;1.00;0.98;18.74;26.00;57414.84;4160.00;0.00;0.00;0.00;57414.84;0.00;2881.00
50.00;1.00;0.93;18.79;41.00;58972.08;6560.00;0.00;0.00;0.00;58972.08;0.00;2600.00
51.00;1.00;0.94;18.91;23.00;58353.29;3680.00;0.00;0.00;0.00;58353.29;0.00;1581.00
52.00;1.00;0.94;18.96;33.00;59733.55;5280.00;0.00;0.00;0.00;59733.55;0.00;1432.00
53.00;1.00;0.99;19.06;32.00;57877.99;5120.00;0.00;0.00;0.00;57877.99;0.00;4029.00
54.00;1.00;0.92;19.12;29.00;23151.20;0.00;0.00;0.00;0.00;23151.20;0.00;2333.00
55.00;1.00;1.34;18.43;41.00;9260.48;0.00;0.00;0.00;0.00;9260.48;0.00;1858.00
56.00;1.00;1.69;17.56;22.00;40878.75;5280.00;6044.95;0.00;0.00;40878.75;0.00;1933.00
57.00;1.00;2.48;17.55;37.00;44312.70;9102.00;9284.27;0.00;0.00;44312.70;0.00;6837.00
58.00;1.00;3.39;17.79;30.00;39861.75;6060.00;9867.87;0.00;0.00;39861.75;0.00;7963.00
59.00;1.00;3.82;17.94;31.00;38226.86;7378.00;8465.74;0.00;0.00;38226.86;0.00;9324.00
60.00;1.00;3.68;18.08;34.00;37056.57;8432.00;5249.03;0.00;0.00;37056.57;0.00;4992.00
61.00;1.00;2.75;18.13;21.00;38442.08;4326.00;5486.63;0.00;0.00;38442.08;0.00;6650.00
62.00;1.00;3.29;18.08;37.00;43269.62;9028.00;4450.79;0.00;0.00;43269.62;0.00;8315.00
63.00;1.00;3.03;18.23;19.00;41844.60;4142.00;26.67;0.00;0.00;41844.60;0.00;9245.00
64.00;1.00;2.32;18.15;30.00;47665.78;7260.00;0.00;0.00;0.00;47665.78;0.00;5188.00
65.00;1.00;1.37;18.20;34.00;49386.15;7548.00;0.00;0.00;0.00;49386.15;0.00;5579.00
66.00;1.00;0.87;18.22;26.00;51879.28;5304.00;0.00;0.00;0.00;51879.28;0.00;5822.00
67.00;1.00;0.59;18.22;37.00;55261.99;7622.00;0.00;0.00;0.00;55261.99;0.00;7624.00
68.00;1.00;0.33;18.30;19.00;55763.16;3800.00;0.00;0.00;0.00;55763.16;0.00;6652.00
69.00;1.00;-0.21;18.30;34.00;58938.20;6868.00;0.00;0.00;0.00;58938.20;0.00;6878.00
70.00;1.00;-0.56;18.39;27.00;59452.63;6750.00;0.00;0.00;0.00;59452.63;0.00;4902.00
71.00;1.00;-0.53;18.45;26.00;60594.33;5616.00;0.00;0.00;0.00;60594.33;0.00;4716.00
72.00;1.00;-0.75;18.51;36.00;61791.38;5760.00;0.00;0.00;0.00;61791.38;0.00;2392.00
73.00;1.00;-0.68;18.58;24.00;62760.52;3840.00;0.00;0.00;0.00;62760.52;0.00;2331.00
74.00;1.00;-0.61;18.64;38.00;64301.03;6080.00;0.00;0.00;0.00;64301.03;0.00;1714.00
75.00;1.00;-0.66;18.76;23.00;63522.32;3680.00;0.00;0.00;0.00;63522.32;0.00;2102.00
76.00;1.00;-0.82;18.82;30.00;64994.17;4800.00;0.00;0.00;0.00;64994.17;0.00;2469.00
77.00;1.00;-0.64;18.90;31.00;65351.39;4960.00;0.00;0.00;0.00;65351.39;0.00;2812.00
78.00;1.00;-0.35;19.01;24.00;65055.89;3840.00;0.00;0.00;0.00;65055.89;0.00;2441.00
