datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;18.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;209.00
1.00;1.00;4.00;17.75;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;296.00
2.00;1.00;4.11;17.51;2.00;3187.43;320.00;0.00;0.00;0.00;3187.43;0.00;176.00
3.00;1.00;4.14;17.50;2.00;4213.03;320.00;0.00;0.00;0.00;4213.03;0.00;85.00
4.00;1.00;4.08;17.56;2.00;4615.69;320.00;0.00;0.00;0.00;4615.69;0.00;71.00
5.00;1.00;4.04;17.64;2.00;4795.88;320.00;0.00;0.00;0.00;4795.88;0.00;441.00
6.00;1.00;4.01;17.73;1.00;4887.66;160.00;0.00;0.00;0.00;4887.66;0.00;1007.00
7.00;1.00;4.06;17.81;2.00;5040.07;448.00;516.08;5889.52;0.09;10929.59;0.00;362.00
8.00;0.50;3.80;17.95;1.00;3738.14;222.00;898.67;0.00;0.00;3738.14;0.00;1451.00
9.00;0.50;4.23;18.02;2.00;2530.04;448.00;1365.59;0.00;0.00;2530.04;0.00;238.00
10.00;0.50;4.66;18.06;2.00;1012.02;0.00;0.00;0.00;0.00;1012.02;0.00;246.00
11.00;0.50;5.24;17.88;2.00;404.81;0.00;0.00;0.00;0.00;404.81;0.00;271.00
12.00;0.50;4.18;17.69;2.00;1735.73;404.00;1226.57;0.00;0.00;1735.73;0.00;1371.00
13.00;0.50;3.89;17.67;1.00;2765.39;208.00;884.21;0.00;0.00;2765.39;0.00;1527.00
14.00;1.00;4.04;17.67;2.00;3642.47;452.00;444.73;0.00;0.00;3642.47;0.00;184.00
15.00;0.50;4.07;17.72;1.00;3829.82;242.00;1.56;0.00;0.00;3829.82;0.00;131.00
16.00;1.00;4.02;17.75;1.00;4556.97;244.00;0.00;0.00;0.00;4556.97;0.00;341.00
17.00;1.00;3.84;17.81;2.00;4858.80;444.00;0.00;0.00;0.00;4858.80;0.00;694.00
18.00;1.00;3.74;17.91;1.00;4900.23;214.00;0.00;0.00;0.00;4900.23;0.00;3838.00
19.00;1.00;3.44;17.99;2.00;4995.19;408.00;0.00;0.00;0.00;4995.19;0.00;867.00
20.00;1.00;3.23;18.08;1.00;4236.37;222.00;0.00;0.00;0.00;4236.37;0.00;775.00
21.00;1.00;3.10;18.11;2.00;1694.55;0.00;0.00;0.00;0.00;1694.55;0.00;744.00
22.00;1.00;2.65;17.95;1.00;677.82;0.00;0.00;0.00;0.00;677.82;0.00;698.00
