datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;276.00
1.00;1.00;4.00;18.02;0.00;0.00;0.00;0.00;11469.52;0.18;11469.52;0.00;322.00
2.00;1.00;4.11;17.12;2.00;13805.00;320.00;0.00;0.00;0.00;13805.00;0.00;294.00
3.00;1.00;4.14;16.89;1.00;18234.60;160.00;0.00;0.00;0.00;18234.60;0.00;225.00
4.00;1.00;4.08;16.87;2.00;19872.31;320.00;0.00;0.00;0.00;19872.31;0.00;168.00
5.00;1.00;4.04;16.93;1.00;20467.09;160.00;0.00;0.00;0.00;20467.09;0.00;100.00
6.00;1.00;4.01;17.00;0.00;20886.15;0.00;0.00;0.00;0.00;20886.15;0.00;348.00
7.00;1.00;4.06;17.07;2.00;21237.82;456.00;1211.09;0.00;0.00;21237.82;0.00;604.00
8.00;1.00;3.80;17.23;1.00;20406.05;204.00;2109.52;0.00;0.00;20406.05;0.00;321.00
9.00;1.00;4.23;17.36;2.00;20051.03;432.00;3206.04;0.00;0.00;20051.03;0.00;114.00
10.00;0.50;4.66;17.55;1.00;18846.23;200.00;3610.05;0.00;0.00;18846.23;0.00;1756.00
11.00;0.50;5.24;17.70;0.00;18050.73;0.00;3278.70;0.00;0.00;18050.73;0.00;275.00
12.00;0.50;4.18;17.83;1.00;17671.51;210.00;2880.70;0.00;0.00;17671.51;0.00;165.00
13.00;0.50;3.89;17.86;1.00;18686.51;248.00;2075.68;0.00;0.00;18686.51;0.00;1112.00
14.00;0.50;4.04;17.87;2.00;19837.35;488.00;1044.13;0.00;0.00;19837.35;0.00;241.00
15.00;0.50;4.07;17.92;1.00;20651.76;210.00;3.67;0.00;0.00;20651.76;0.00;188.00
16.00;0.50;4.02;17.93;2.00;21762.87;416.00;0.00;0.00;0.00;21762.87;0.00;175.00
17.00;0.50;3.84;18.00;2.00;22053.36;464.00;0.00;0.00;0.00;22053.36;0.00;150.00
18.00;1.00;3.74;18.07;2.00;22468.12;500.00;0.00;0.00;0.00;22468.12;0.00;183.00
19.00;1.00;3.44;18.15;2.00;22769.22;452.00;0.00;0.00;0.00;22769.22;0.00;441.00
20.00;1.00;3.23;18.22;0.00;23255.29;0.00;0.00;0.00;0.00;23255.29;0.00;508.00
21.00;1.00;3.10;18.26;2.00;23959.56;468.00;0.00;0.00;0.00;23959.56;0.00;454.00
22.00;1.00;2.65;18.35;2.00;24115.04;436.00;0.00;0.00;0.00;24115.04;0.00;344.00
23.00;1.00;2.13;18.41;2.00;24675.75;496.00;0.00;0.00;0.00;24675.75;0.00;291.00
24.00;1.00;1.95;18.46;2.00;25379.32;320.00;0.00;0.00;0.00;25379.32;0.00;170.00
25.00;1.00;1.76;18.52;2.00;25970.38;320.00;0.00;0.00;0.00;25970.38;0.00;63.00
26.00;1.00;1.61;18.58;2.00;26429.38;320.00;0.00;0.00;0.00;26429.38;0.00;67.00
27.00;1.00;1.46;18.66;1.00;26799.30;160.00;0.00;0.00;0.00;26799.30;0.00;88.00
