,bid,footprint_area,PV_cap_MW,number_of_cars,car_demand_daily_per_car_MW,car_demand_daily_total_MW,charging_station_power_MW,charging_station_power_total_MW,,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap
17,16.188.999.999.999.900,161.89,1,0.00515,0.00515,0.011,0.011,,3,4,48.213.999.999.999.900,11.531.000.000.000.000,0,1,1,2,32.377.999.999.999.900,0.84,27.198.000.000.000.000,41.020.000.000.000.000,1,27.198.000.000.000.000,2,1,1,1,1,56.236.000.000.000.000,69.349.999.999.999.900,50.102.878.939.999.900,79.312.690.000.000.000,22,0,23,0.15,0.22,
18,14.240.000.000.000.000,142.4,1,0.00515,0.00515,0.011,0.011,,3,4,48.201.999.999.999.900,11.538,0,1,1,2,28.480.000.000.000.000,0.84,23.922.999.999.999.900,36.079.999.999.999.900,2,119.62,2,1,1,1,1,49.464.999.999.999.900,61,44.070.505.229.999.900,79.312.690.000.000.000,22,0,23,0.16,0.24,
19,63.009.999.999.999.900,63.01,1,0.00515,0.00515,0.011,0.011,,3,4,48.204.000.000.000.000,11.538,0,1,1,2,126.03,0.84,105.86,15.970.000.000.000.000,1,105.86,1,2,1,1,2,17.168.000.000.000.000,27,19501742.91,98.157.419.999.999.900,19,0,23,0.06,0.09,
20,16.188.999.999.999.900,161.89,1,0.00515,0.00515,0.011,0.011,,3,4,48.213.999.999.999.900,11.531.000.000.000.000,0,1,1,2,32.377.999.999.999.900,0.84,27.198.000.000.000.000,41.020.000.000.000.000,1,27.198.000.000.000.000,2,1,1,1,1,56.236.000.000.000.000,69.349.999.999.999.900,50.102.878.939.999.900,79.312.690.000.000.000,20,0,23,0.16,0.25,
21,16.188.999.999.999.900,161.89,2,0.00515,0.0103,0.011,0.022,,3,4,48.213.999.999.999.900,11.531.000.000.000.000,0,1,1,2,32.377.999.999.999.900,0.84,27.198.000.000.000.000,41.020.000.000.000.000,1,27.198.000.000.000.000,3,1,1,1,1,56.236.000.000.000.000,69.349.999.999.999.900,50.102.878.939.999.900,79.312.690.000.000.000,21,0,23,0.16,0.23,
22,16.188.999.999.999.900,161.89,1,0.00515,0.00515,0.011,0.011,,3,4,48.213.999.999.999.900,11.531.000.000.000.000,0,1,1,2,32.377.999.999.999.900,0.84,27.198.000.000.000.000,41.020.000.000.000.000,2,13.599.000.000.000.000,2,1,1,1,1,56.236.000.000.000.000,69.349.999.999.999.900,50.102.878.939.999.900,79.312.690.000.000.000,20,0,23,0.09,0.13,
23,29.498.000.000.000.000,294.98,10,0.00515,0.0515,0.011,0.11,,3,4,48.210.999.999.999.900,11.558.999.999.999.900,0,1,2,3,88.492.999.999.999.900,0.84,74.334.000.000.000.000,13.040.000.000.000.000,8,92.920.000.000.000.000,20,1,1,1,1,15.574.100.000.000.000,126.37,90.074.308.150.000.000,53.495.279.999.999.900,22,0,23,0.27,0.4,
24,88.469.999.999.999.900,88.47,1,0.00515,0.00515,0.011,0.011,,3,4,48.219.000.000.000.000,11.531.000.000.000.000,0,1,2,3,26.542.000.000.000.000,0.84,22.296.000.000.000.000,39.109.999.999.999.900,2,111.48,1,2,2,2,1,18.484.999.999.999.900,37.899.999.999.999.900,27.016.669.059.999.900,12.128.771.000.000.000,20,0,23,0.16,0.23,
25,10.784.999.999.999.900,107.85,4,0.00515,0.0206,0.011,0.044,,3,4,48.216.999.999.999.900,11.529,0,1,2,3,32.354.000.000.000.000,0.84,27.177.999.999.999.900,47.68,3,90.590.000.000.000.000,8,1,1,1,1,56.940.999.999.999.900,46.200.000.000.000.000,32.932.455.539.999.900,53.495.279.999.999.900,22,0,23,0.2,0.3,
26,16.628.999.999.999.900,166.29,3,0.00515,0.01545,0.011,0.033,,3,4,48.218.000.000.000.000,11.528,0,1,2,3,498.88,0.84,419.06,73.510.000.000.000.000,4,104.77,5,1,2,1,1,51.296.000.000.000.000,71.239.999.999.999.900,50.779.775.899.999.900,86.921.589.999.999.900,20,0,23,0.22,0.33,
27,16.909.999.999.999.900,169.1,7,0.00515,0.03605,0.011,0.077,,3,4,48.213.999.999.999.900,11.551,0,1,2,3,50.729.000.000.000.000,0.84,426.12,74.75,4,106.53,13,1,1,1,1,89.278.999.999.999.900,72.439.999.999.999.900,51.635.170.490.000.000,53.495.279.999.999.900,20,0,23,0.26,0.39,
28,169.09,169.09,6,0.00515,0.0309,0.011,0.066,,3,4,48.213.999.999.999.900,11.551,0,1,2,3,50.725.999.999.999.900,0.84,42.610.000.000.000.000,74.75,4,106.52,12,1,2,2,1,47.967.000.000.000.000,72.439.999.999.999.900,51.632.257.909.999.900,93.518.080.000.000.000,22,0,23,0.03,0.05,
29,27.952.999.999.999.900,279.53,4,0.00515,0.0206,0.011,0.044,,3,4,48.213.000.000.000.000,11.529,0,1,2,3,83.860.000.000.000.000,0.84,70.441.999.999.999.900,12.356.999.999.999.900,7,100.63,8,1,1,2,1,14.065.999.999.999.900,119.75,85.358.161.790.000.000,55.922.989.999.999.900,22,0,23,0.42,0.63,
30,38.797.000.000.000.000,387.97,2,0.00515,0.0103,0.011,0.022,,3,4,48.216.000.000.000.000,11.551,0,1,2,3,11.639.200.000.000.000,0.84,97.769.000.000.000.000,17.150.999.999.999.900,9,108.63,4,1,1,2,1,1952.27,16.621.000.000.000.000,118471462.3,55.922.989.999.999.900,20,0,23,0.18,0.27,
31,68.045.000.000.000.000,680.45,27,0.00515,0.13905,0.011,0.297,,3,4,48.218.000.000.000.000,11.557,0,1,3,5,3402.25,0.84,28.578.899.999.999.900,475.56,19,15.041.999.999.999.900,54,1,1,1,2,38.773.400.000.000.000,29.150.999.999.999.900,27.912.537.139.999.900,66.955.149.999.999.900,19,0,23,13.600.000.000.000.000,20.499.999.999.999.900,
32,75.142.999.999.999.900,751.43,32,0.00515,0.1648,0.011,0.352,,3,4,48.212.000.000.000.000,11.558,0,1,3,5,37.571.700.000.000.000,0.84,3156.02,52.516.999.999.999.900,21,15.028.999.999.999.900,63,2,1,1,2,34.863.400.000.000.000,32.191.000.000.000.000,30.824.286.269.999.900,80.940.820.000.000.000,18,0,23,0.82,Jan 23,
33,900,900,1,0.00515,0.00515,0.011,0.011,,3,4,48.198.999.999.999.900,11.497.999.999.999.900,0,1,3,5,4500,0.84,3780,629,3,1260,1,2,1,1,2,41.756.199.999.999.900,385.56,36.918.587.780.000.000,80.940.820.000.000.000,19,0,23,11.000.000.000.000.000,16.499.999.999.999.900,
34,83.150.999.999.999.900,831.51,24,0.00515,0.1236,0.011,0.264,,3,4,48.219.999.999.999.900,11.551,0,1,3,5,41.575.500.000.000.000,0.84,34.923.400.000.000.000,581.13,23,151.84,47,2,1,2,1,43.491.700.000.000.000,35.622.000.000.000.000,34.109.070.289.999.900,72.489.419.999.999.900,21,0,23,Feb 75,41.200.000.000.000.000,
35,74.876.999.999.999.900,748.77,34,0.00515,0.1751,0.011,0.374,,3,4,48.219.000.000.000.000,11.557,0,1,3,5,37.438.600.000.000.000,0.84,31.448.400.000.000.000,52.330.999.999.999.900,21,149.75,68,2,2,2,2,16.926.099.999.999.900,32.076.999.999.999.900,307150859.5,15.255.489.999.999.900,19,0,23,Jan 52,22.799.999.999.999.900,
