bid;footprint_area;PV_cap_MW;number_of_cars;car_demand_daily_per_car_MW;car_demand_daily_total_MW;charging_station_power_MW;charging_station_power_total_MW;;use;free_walls;lat;lon;dist_to_heat_source;year_class;size_class;floors;storey_area;area_corr_factor;heated_area;window_area;dwellings;dwelling_size;occupants;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;U;V;C;Tau;Tset;act_start;act_end;hw_demand_day;hw_tank_cap;;;;;;;;;;;
1;13.065.000.000.000.000;0.013065;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.201.000.000.000.000;11.506;0;0;0;3;39.195.999.999.999.900;0.83999999999999997;329.25;36.969.999.999.999.900;1;329.25;3;1;2;2;2;61.028.999.999.999.900;55.969.999.999.999.900;57.055.060.880.000.000;85.634.679.999.999.900;22;0;23;0.14000000000000001;0.22;;;;;;;;;;;
2;156.78;0.015678000000000001;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.201.000.000.000.000;11.506;0;0;0;3;47.035.000.000.000.000;0.83999999999999997;39.510.000.000.000.000;44.359.999.999.999.900;1;39.510.000.000.000.000;5;1;1;2;1;12.176.400.000.000.000;67.170.000.000.000.000;68.466.073.049.999.900;53.288.849.999.999.900;22;0;23;0.20000000000000001;0.29999999999999999;;;;;;;;;;;
3;18.813.999.999.999.900;0.018814000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.000.000.000.000;11.506;0;0;0;3;56.441.999.999.999.900;0.83999999999999997;47.411.000.000.000.000;53.229.999.999.999.900;1;47.411.000.000.000.000;2;1;1;2;2;1397.29;80.599.999.999.999.900;82.159.287.659.999.900;55.592.220.000.000.000;19;0;23;0.12;0.17999999999999999;;;;;;;;;;;
4;15.050.999.999.999.900;0.015051;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.000.000.000.000;11.506;0;0;0;3;45.154.000.000.000.000;0.83999999999999997;37.929.000.000.000.000;42.590.000.000.000.000;1;37.929.000.000.000.000;2;1;1;1;1;1321.29;64.480.000.000.000.000;65.727.430.149.999.900;47.430.370.000.000.000;20;0;23;0.26000000000000001;0.39000000000000001;;;;;;;;;;;
5;120.41;0.012041;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.000.000.000.000;11.506;0;0;0;3;36.123.000.000.000.000;0.83999999999999997;30.343.000.000.000.000;34.07;1;30.343.000.000.000.000;1;2;1;2;1;58.748.000.000.000.000;51.579.999.999.999.900;52.581.944.090.000.000;82.280.089.999.999.900;22;0;23;0.13;0.19;;;;;;;;;;;
6;14.449.000.000.000.000;0.014449;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.000.000.000.000;11.506;0;0;0;3;43.348.000.000.000.000;0.83999999999999997;364.12;40.880.000.000.000.000;1;364.12;1;2;2;1;2;40.398.000.000.000.000;61.899.999.999.999.900;63.098.332.950.000.000;13.543.976.999.999.900;21;0;23;0.070000000000000007;0.11;;;;;;;;;;;
7;10.965.000.000.000.000;0.010965000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.000.000.000.000;11.506;0;1;0;2;219.31;0.83999999999999997;184.22;26.23;2;92.109.999.999.999.900;2;1;1;2;1;60.185.000.000.000.000;46.979.999.999.999.900;43.848.604.039.999.900;67.581.559.999.999.900;21;0;23;0.19;0.28000000000000003;;;;;;;;;;;
8;101.81;0.010181000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.000.000.000.000;11.547.000.000.000.000;0;1;0;2;20.361.000.000.000.000;0.83999999999999997;171.03;24.359.999.999.999.900;1;171.03;1;2;1;1;2;47.400.999.999.999.900;43.609.999.999.999.900;40.710.914.079.999.900;78.649.970.000.000.000;19;0;23;0.14000000000000001;0.20999999999999999;;;;;;;;;;;
9;107.17;0.010717000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.222.000.000.000.000;11.505.000.000.000.000;0;1;0;2;21.433.000.000.000.000;0.83999999999999997;18.003.999.999.999.900;25.640.000.000.000.000;1;18.003.999.999.999.900;1;1;2;1;1;29.136.000.000.000.000;45.909.999.999.999.900;42854690.68;12.706.464.999.999.900;22;0;23;0.040000000000000001;0.050000000000000003;;;;;;;;;;;
10;93.599.999.999.999.900;0.0093600000000000003;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.197.000.000.000.000;11.548.999.999.999.900;0;1;0;2;18.721.000.000.000.000;0.83999999999999997;157.25;22.390.000.000.000.000;2;78.629.999.999.999.900;2;2;1;2;1;43.949.000.000.000.000;40.100.000.000.000.000;37.430.577.109.999.900;78047;21;0;23;0.070000000000000007;0.11;;;;;;;;;;;
