datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;21.00;40.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2673.00
1.00;1.00;4.00;20.64;24.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1946.00
2.00;1.00;4.11;20.28;44.00;26152.47;7040.00;0.00;0.00;0.00;26152.47;0.00;1574.00
3.00;1.00;4.14;20.28;28.00;10460.99;0.00;0.00;0.00;0.00;10460.99;0.00;2445.00
4.00;1.00;4.08;20.05;40.00;29729.31;6400.00;0.00;0.00;0.00;29729.31;0.00;1893.00
5.00;1.00;4.04;20.09;38.00;33382.60;6080.00;0.00;0.00;0.00;33382.60;0.00;1553.00
6.00;1.00;4.01;20.16;32.00;35129.12;5120.00;0.00;0.00;0.00;35129.12;0.00;2981.00
7.00;0.90;4.06;20.23;45.00;36525.79;9630.00;10366.98;0.00;0.00;36525.79;0.00;2436.00
8.00;0.80;3.80;20.48;27.00;28198.47;6372.00;15134.51;0.00;0.00;28198.47;0.00;3295.00
9.00;0.67;4.23;20.64;43.00;24569.81;9460.00;20181.64;0.00;0.00;24569.81;0.00;9310.00
10.00;0.67;4.66;20.85;31.00;17912.14;7626.00;19834.50;0.00;0.00;17912.14;0.00;9162.00
11.00;0.59;5.24;20.98;32.00;14072.31;7680.00;15441.97;0.00;0.00;14072.31;0.00;8195.00
12.00;0.61;4.18;21.04;41.00;9526.26;8282.00;10998.36;0.00;0.00;9526.26;0.00;12186.00
13.00;0.71;3.89;20.98;23.00;3810.50;0.00;0.00;0.00;0.00;3810.50;0.00;8121.00
14.00;0.67;4.04;20.65;44.00;16379.29;8800.00;4865.65;0.00;0.00;16379.29;0.00;6287.00
15.00;0.78;4.07;20.61;29.00;24473.65;5974.00;26.64;0.00;0.00;24473.65;0.00;8358.00
16.00;0.90;4.02;20.58;38.00;32223.43;7904.00;0.00;0.00;0.00;32223.43;0.00;15606.00
17.00;0.84;3.84;20.64;34.00;34196.03;7004.00;0.00;0.00;0.00;34196.03;0.00;7764.00
18.00;1.00;3.74;20.72;30.00;35826.84;6420.00;0.00;0.00;0.00;35826.84;0.00;7574.00
19.00;1.00;3.44;20.79;46.00;37048.71;11408.00;0.00;0.00;0.00;37048.71;0.00;9277.00
20.00;1.00;3.23;20.93;28.00;35011.19;6048.00;0.00;0.00;0.00;35011.19;0.00;9064.00
21.00;1.00;3.10;20.98;43.00;36131.71;9546.00;0.00;0.00;0.00;36131.71;0.00;8755.00
22.00;1.00;2.65;21.08;30.00;31754.78;7440.00;0.00;0.00;0.00;31754.78;0.00;6971.00
23.00;1.00;2.13;21.09;33.00;12701.91;0.00;0.00;0.00;0.00;12701.91;0.00;4400.00
24.00;1.00;1.95;20.82;41.00;5080.77;0.00;0.00;0.00;0.00;5080.77;0.00;2901.00
25.00;1.00;1.76;20.47;26.00;30923.00;4160.00;0.00;0.00;0.00;30923.00;0.00;2342.00
26.00;1.00;1.61;20.44;44.00;38574.62;7040.00;0.00;0.00;0.00;38574.62;0.00;1795.00
27.00;1.00;1.46;20.51;30.00;15429.85;0.00;0.00;0.00;0.00;15429.85;0.00;1785.00
28.00;1.00;1.43;20.27;40.00;6171.94;0.00;0.00;0.00;0.00;6171.94;0.00;2507.00
29.00;1.00;1.39;19.93;34.00;2468.78;0.00;0.00;0.00;0.00;2468.78;0.00;3130.00
30.00;1.00;1.30;19.56;31.00;29480.83;4960.00;0.00;0.00;0.00;29480.83;0.00;4778.00
31.00;1.00;1.13;19.53;47.00;36958.36;11562.00;12301.69;0.00;0.00;36958.36;0.00;2085.00
32.00;1.00;1.09;19.78;24.00;28781.76;5280.00;16192.57;0.00;0.00;28781.76;0.00;4200.00
33.00;1.00;1.20;19.90;43.00;27292.17;10406.00;18899.65;0.00;0.00;27292.17;0.00;5815.00
34.00;1.00;1.21;20.09;32.00;22010.92;7040.00;16514.81;0.00;0.00;22010.92;0.00;8986.00
35.00;1.00;1.25;20.17;30.00;23579.93;6240.00;12374.79;0.00;0.00;23579.93;0.00;15033.00
36.00;1.00;1.31;20.20;38.00;27205.53;9348.00;8025.53;0.00;0.00;27205.53;0.00;11601.00
37.00;1.00;1.28;20.27;23.00;29371.37;4600.00;5750.66;0.00;0.00;29371.37;0.00;10944.00
38.00;1.00;1.16;20.28;43.00;34571.21;8944.00;4142.30;0.00;0.00;34571.21;0.00;6553.00
39.00;1.00;0.92;20.37;22.00;35169.33;4928.00;31.76;0.00;0.00;35169.33;0.00;4610.00
40.00;1.00;0.82;20.37;36.00;40684.68;8856.00;0.00;0.00;0.00;40684.68;0.00;7106.00
41.00;1.00;0.74;20.47;40.00;40681.26;9600.00;0.00;0.00;0.00;40681.26;0.00;8483.00
42.00;1.00;0.81;20.57;32.00;40452.51;7936.00;0.00;0.00;0.00;40452.51;0.00;13394.00
43.00;1.00;0.75;20.66;44.00;41397.48;9416.00;0.00;71804.30;1.14;113201.78;0.00;14405.00
44.00;1.00;0.94;20.76;25.00;41065.88;5300.00;0.00;0.00;0.00;41065.88;0.00;12130.00
45.00;1.00;0.91;20.82;37.00;43307.37;8954.00;0.00;0.00;0.00;43307.37;0.00;8650.00
46.00;1.00;1.04;20.94;30.00;42124.91;6240.00;0.00;0.00;0.00;42124.91;0.00;8704.00
47.00;1.00;1.19;21.02;32.00;16849.97;0.00;0.00;0.00;0.00;16849.97;0.00;5468.00
48.00;1.00;0.98;20.78;40.00;6739.99;0.00;0.00;0.00;0.00;6739.99;0.00;5955.00
49.00;1.00;0.98;20.43;24.00;2695.99;0.00;0.00;0.00;0.00;2695.99;0.00;3335.00
50.00;1.00;0.93;20.04;44.00;1078.40;0.00;0.00;0.00;0.00;1078.40;0.00;2243.00
51.00;1.00;0.94;19.65;29.00;29613.71;4640.00;0.00;0.00;0.00;29613.71;0.00;2099.00
52.00;1.00;0.94;19.61;38.00;11845.48;0.00;0.00;0.00;0.00;11845.48;0.00;3120.00
53.00;1.00;0.99;19.33;38.00;4738.19;0.00;0.00;0.00;0.00;4738.19;0.00;1964.00
54.00;1.00;0.92;18.99;34.00;30139.60;5440.00;0.00;0.00;0.00;30139.60;0.00;3385.00
55.00;1.00;1.34;18.98;44.00;36698.03;10032.00;4508.84;0.00;0.00;36698.03;0.00;2494.00
56.00;1.00;1.69;19.13;23.00;33329.38;4600.00;7030.33;0.00;0.00;33329.38;0.00;3936.00
57.00;1.00;2.48;19.23;41.00;33500.06;10086.00;10797.91;0.00;0.00;33500.06;0.00;7926.00
58.00;1.00;3.39;19.44;31.00;27161.87;7254.00;11476.94;0.00;0.00;27161.87;0.00;8358.00
59.00;1.00;3.82;19.58;30.00;25064.38;6540.00;9846.48;0.00;0.00;25064.38;0.00;16546.00
60.00;1.00;3.68;19.67;43.00;25265.04;8858.00;6105.37;0.00;0.00;25265.04;0.00;12111.00
61.00;1.00;2.75;19.75;28.00;26494.01;5880.00;6379.81;0.00;0.00;26494.01;0.00;6923.00
62.00;1.00;3.29;19.80;42.00;29839.22;8820.00;5175.42;0.00;0.00;29839.22;0.00;10925.00
63.00;1.00;3.03;19.90;27.00;29533.04;5778.00;31.02;0.00;0.00;29533.04;0.00;6346.00
64.00;1.00;2.32;19.91;33.00;34772.22;6732.00;0.00;0.00;0.00;34772.22;0.00;9206.00
65.00;1.00;1.37;19.97;37.00;37192.04;8066.00;0.00;0.00;0.00;37192.04;0.00;8558.00
66.00;1.00;0.87;20.04;31.00;38594.10;7502.00;0.00;0.00;0.00;38594.10;0.00;7990.00
67.00;1.00;0.59;20.12;46.00;40199.10;10672.00;0.00;0.00;0.00;40199.10;0.00;11674.00
68.00;1.00;0.33;20.23;25.00;39365.33;5200.00;0.00;0.00;0.00;39365.33;0.00;13437.00
69.00;1.00;-0.21;20.27;41.00;42772.35;9266.00;0.00;0.00;0.00;42772.35;0.00;8120.00
70.00;1.00;-0.56;20.38;29.00;42412.91;6612.00;0.00;0.00;0.00;42412.91;0.00;5775.00
71.00;1.00;-0.53;20.44;28.00;44422.73;6720.00;0.00;0.00;0.00;44422.73;0.00;5075.00
72.00;1.00;-0.75;20.53;43.00;17769.09;0.00;0.00;0.00;0.00;17769.09;0.00;4287.00
73.00;1.00;-0.68;20.26;27.00;38954.49;4320.00;0.00;0.00;0.00;38954.49;0.00;3834.00
74.00;1.00;-0.61;20.27;45.00;44423.01;7200.00;0.00;0.00;0.00;44423.01;0.00;1854.00
75.00;1.00;-0.66;20.36;28.00;17769.20;0.00;0.00;0.00;0.00;17769.20;0.00;2374.00
76.00;1.00;-0.82;20.10;37.00;7107.68;0.00;0.00;0.00;0.00;7107.68;0.00;2191.00
77.00;1.00;-0.64;19.73;36.00;2843.07;0.00;0.00;0.00;0.00;2843.07;0.00;2602.00
78.00;1.00;-0.35;19.32;30.00;31861.19;4800.00;0.00;0.00;0.00;31861.19;0.00;3325.00
79.00;0.90;0.29;19.29;45.00;39732.51;10890.00;13163.39;0.00;0.00;39732.51;0.00;4121.00
80.00;0.69;0.87;19.55;23.00;30498.67;5566.00;16180.65;0.00;0.00;30498.67;0.00;2363.00
81.00;0.78;1.57;19.69;40.00;27805.60;8320.00;15405.89;0.00;0.00;27805.60;0.00;2750.00
82.00;0.61;3.02;19.84;33.00;24862.24;8118.00;11692.50;74163.31;1.18;99025.55;0.00;4973.00
83.00;0.53;4.09;19.95;31.00;24438.60;6324.00;10163.77;0.00;0.00;24438.60;0.00;10218.00
84.00;0.63;4.07;20.04;41.00;25084.31;10168.00;9395.96;0.00;0.00;25084.31;0.00;5608.00
85.00;0.61;4.35;20.17;23.00;23634.46;5060.00;9041.41;0.00;0.00;23634.46;0.00;8321.00
86.00;0.71;4.41;20.22;45.00;26138.85;10350.00;5419.27;0.00;0.00;26138.85;0.00;5764.00
87.00;0.73;4.27;20.32;23.00;26129.39;5750.00;35.90;0.00;0.00;26129.39;0.00;6579.00
88.00;0.96;3.92;20.31;37.00;32417.64;7696.00;0.00;0.00;0.00;32417.64;0.00;7970.00
89.00;0.88;3.18;20.38;33.00;34202.53;6732.00;0.00;0.00;0.00;34202.53;0.00;6773.00
90.00;1.00;2.76;20.44;28.00;36483.94;6720.00;0.00;0.00;0.00;36483.94;0.00;15134.00
91.00;1.00;3.15;20.52;43.00;37994.19;9030.00;0.00;0.00;0.00;37994.19;0.00;9444.00
92.00;1.00;3.32;20.64;23.00;36823.59;5428.00;0.00;0.00;0.00;36823.59;0.00;11786.00
93.00;1.00;3.24;20.71;40.00;38462.91;8400.00;0.00;0.00;0.00;38462.91;0.00;10239.00
94.00;1.00;2.99;20.82;32.00;37519.32;6592.00;0.00;0.00;0.00;37519.32;0.00;8110.00
95.00;1.00;2.44;20.90;31.00;15007.73;0.00;0.00;0.00;0.00;15007.73;0.00;4476.00
96.00;1.00;1.11;20.67;42.00;6003.09;0.00;0.00;0.00;0.00;6003.09;0.00;4401.00
97.00;1.00;0.74;20.31;22.00;32130.46;3520.00;0.00;0.00;0.00;32130.46;0.00;2712.00
98.00;1.00;0.95;20.27;44.00;12852.18;0.00;0.00;0.00;0.00;12852.18;0.00;2397.00
99.00;1.00;0.22;19.99;27.00;34583.39;4320.00;0.00;0.00;0.00;34583.39;0.00;1635.00
100.00;1.00;0.08;19.98;35.00;13833.35;0.00;0.00;0.00;0.00;13833.35;0.00;2727.00
101.00;1.00;-0.19;19.70;38.00;5533.34;0.00;0.00;0.00;0.00;5533.34;0.00;1925.00
102.00;1.00;0.17;19.33;34.00;32344.08;5440.00;0.00;0.00;0.00;32344.08;0.00;2361.00
103.00;0.96;0.54;19.32;46.00;38914.85;10764.00;18531.85;71086.89;1.13;110001.74;0.00;1950.00
104.00;0.78;1.20;19.63;24.00;26759.20;5424.00;15107.71;0.00;0.00;26759.20;0.00;4758.00
105.00;0.82;1.64;19.73;41.00;26731.82;10004.00;14715.43;0.00;0.00;26731.82;0.00;8114.00
106.00;0.55;2.31;19.88;30.00;23787.54;6540.00;19376.40;0.00;0.00;23787.54;0.00;8389.00
107.00;0.47;3.50;20.02;35.00;21261.09;8470.00;23580.24;0.00;0.00;21261.09;0.00;9861.00
108.00;0.61;4.16;20.23;41.00;15284.42;8364.00;19726.54;0.00;0.00;15284.42;0.00;11571.00
109.00;0.65;4.69;20.34;28.00;14719.55;5656.00;16390.21;0.00;0.00;14719.55;0.00;8967.00
110.00;0.69;5.14;20.39;44.00;17595.91;9240.00;8007.14;0.00;0.00;17595.91;0.00;7982.00
111.00;0.67;4.92;20.43;28.00;21134.76;5712.00;29.62;0.00;0.00;21134.76;0.00;4976.00
112.00;0.82;4.58;20.38;38.00;29778.18;7676.00;0.00;0.00;0.00;29778.18;0.00;7373.00
113.00;0.88;4.03;20.43;37.00;32425.53;8140.00;0.00;0.00;0.00;32425.53;0.00;9063.00
114.00;1.00;3.54;20.50;29.00;33948.91;5974.00;0.00;0.00;0.00;33948.91;0.00;11625.00
115.00;1.00;2.91;20.56;46.00;36547.02;9476.00;0.00;0.00;0.00;36547.02;0.00;15948.00
116.00;1.00;2.50;20.66;24.00;36330.65;4944.00;0.00;0.00;0.00;36330.65;0.00;11362.00
117.00;1.00;2.01;20.71;44.00;39589.56;8888.00;0.00;0.00;0.00;39589.56;0.00;7825.00
118.00;1.00;1.59;20.81;33.00;39184.14;6732.00;0.00;0.00;0.00;39184.14;0.00;6591.00
119.00;1.00;1.85;20.88;34.00;40956.62;7684.00;0.00;0.00;0.00;40956.62;0.00;5908.00
120.00;1.00;1.91;20.98;41.00;40866.46;6560.00;0.00;0.00;0.00;40866.46;0.00;6397.00
121.00;1.00;2.24;21.07;30.00;16346.58;0.00;0.00;0.00;0.00;16346.58;0.00;3608.00
122.00;1.00;2.28;20.84;43.00;6538.63;0.00;0.00;0.00;0.00;6538.63;0.00;2824.00
123.00;1.00;1.89;20.51;27.00;31132.75;4320.00;0.00;0.00;0.00;31132.75;0.00;1667.00
124.00;1.00;1.29;20.49;35.00;38446.80;5600.00;0.00;0.00;0.00;38446.80;0.00;2528.00
125.00;1.00;0.69;20.54;35.00;41305.65;5600.00;0.00;0.00;0.00;41305.65;0.00;3206.00
126.00;1.00;0.58;20.60;29.00;43248.62;4640.00;0.00;0.00;0.00;43248.62;0.00;4927.00
127.00;1.00;1.05;20.68;42.00;44814.89;8736.00;18240.20;0.00;0.00;44814.89;0.00;4695.00
128.00;0.84;1.45;21.01;19.00;31554.43;4560.00;20253.85;0.00;0.00;31554.43;0.00;5563.00
129.00;0.73;2.24;21.18;41.00;12621.77;0.00;0.00;0.00;0.00;12621.77;0.00;6730.00
130.00;0.78;3.32;20.91;29.00;5048.71;0.00;0.00;0.00;0.00;5048.71;0.00;8194.00
131.00;0.65;4.33;20.59;31.00;19430.99;6696.00;11689.07;0.00;0.00;19430.99;0.00;5713.00
132.00;0.61;5.12;20.63;42.00;22430.62;8820.00;7189.57;0.00;0.00;22430.62;0.00;15930.00
133.00;0.53;5.83;20.70;25.00;24139.39;5900.00;7519.40;0.00;0.00;24139.39;0.00;11722.00
134.00;0.71;5.77;20.78;42.00;25594.04;9408.00;5122.23;0.00;0.00;25594.04;0.00;7868.00
135.00;0.67;5.20;20.88;27.00;25193.91;6318.00;39.20;0.00;0.00;25193.91;0.00;5676.00
136.00;0.90;4.54;20.87;36.00;30356.18;7416.00;0.00;0.00;0.00;30356.18;0.00;5341.00
137.00;0.94;3.92;20.92;32.00;33471.41;6976.00;0.00;0.00;0.00;33471.41;0.00;8985.00
138.00;1.00;3.36;20.98;25.00;34758.25;6150.00;0.00;0.00;0.00;34758.25;0.00;11119.00
139.00;1.00;2.81;21.03;42.00;33089.81;9912.00;0.00;0.00;0.00;33089.81;0.00;12212.00
140.00;1.00;2.85;21.09;24.00;13235.93;0.00;0.00;0.00;0.00;13235.93;0.00;13167.00
141.00;1.00;3.00;20.84;42.00;5294.37;0.00;0.00;0.00;0.00;5294.37;0.00;9048.00
142.00;1.00;2.91;20.51;29.00;29744.55;5858.00;0.00;0.00;0.00;29744.55;0.00;7390.00
143.00;1.00;2.81;20.51;32.00;35719.05;6464.00;0.00;0.00;0.00;35719.05;0.00;4785.00
144.00;1.00;2.55;20.57;39.00;37868.49;6240.00;0.00;0.00;0.00;37868.49;0.00;5414.00
145.00;1.00;2.24;20.65;23.00;15147.40;0.00;0.00;0.00;0.00;15147.40;0.00;2517.00
146.00;1.00;2.17;20.42;43.00;34382.17;6880.00;0.00;0.00;0.00;34382.17;0.00;2566.00
147.00;1.00;1.98;20.46;25.00;13752.87;0.00;0.00;0.00;0.00;13752.87;0.00;2560.00
148.00;1.00;2.18;20.21;37.00;5501.15;0.00;0.00;0.00;0.00;5501.15;0.00;2152.00
149.00;1.00;2.39;19.88;34.00;2200.46;0.00;0.00;0.00;0.00;2200.46;0.00;3522.00
150.00;1.00;2.54;19.53;26.00;28073.57;4160.00;0.00;0.00;0.00;28073.57;0.00;7355.00
151.00;0.94;2.64;19.51;47.00;35321.80;10340.00;25837.07;0.00;0.00;35321.80;0.00;2113.00
152.00;0.82;2.44;19.89;25.00;18856.46;6200.00;32169.91;0.00;0.00;18856.46;0.00;3243.00
153.00;0.82;2.73;20.12;41.00;11668.70;9102.00;33802.48;0.00;0.00;11668.70;0.00;8936.00
154.00;0.55;3.32;20.32;32.00;5996.07;7936.00;28245.75;0.00;0.00;5996.07;0.00;5480.00
155.00;0.59;3.93;20.39;32.00;7280.57;7424.00;18150.33;0.00;0.00;7280.57;0.00;11945.00
156.00;0.59;4.13;20.38;40.00;13506.34;8000.00;8325.66;0.00;0.00;13506.34;0.00;12451.00
157.00;0.53;4.31;20.35;24.00;21287.41;4848.00;6256.61;0.00;0.00;21287.41;0.00;9358.00
158.00;0.59;4.41;20.35;46.00;27276.13;10488.00;4102.77;0.00;0.00;27276.13;0.00;6692.00
159.00;0.75;4.33;20.44;27.00;27447.88;5562.00;18.15;0.00;0.00;27447.88;0.00;5362.00
160.00;0.80;3.99;20.44;40.00;33138.65;9440.00;0.00;0.00;0.00;33138.65;0.00;11068.00
161.00;0.92;3.59;20.54;35.00;33515.42;8750.00;0.00;71211.42;1.13;104726.84;0.00;8225.00
162.00;1.00;3.02;20.62;28.00;34687.40;6720.00;0.00;0.00;0.00;34687.40;0.00;7453.00
163.00;1.00;2.97;20.67;45.00;37168.78;11070.00;0.00;0.00;0.00;37168.78;0.00;10944.00
164.00;1.00;3.19;20.80;24.00;35681.14;5328.00;0.00;0.00;0.00;35681.14;0.00;13760.00
165.00;1.00;4.15;20.85;41.00;38419.91;8692.00;0.00;0.00;0.00;38419.91;0.00;9327.00
166.00;1.00;4.96;20.99;31.00;36387.68;7130.00;0.00;0.00;0.00;36387.68;0.00;9335.00
167.00;1.00;5.05;21.10;32.00;30649.07;6912.00;0.00;0.00;0.00;30649.07;0.00;5962.00
168.00;1.00;4.96;21.15;43.00;12259.63;0.00;0.00;0.00;0.00;12259.63;0.00;3786.00
169.00;1.00;4.37;20.93;28.00;4903.85;0.00;0.00;0.00;0.00;4903.85;0.00;2277.00
170.00;1.00;4.33;20.63;43.00;26150.65;6880.00;0.00;0.00;0.00;26150.65;0.00;1610.00
171.00;1.00;4.67;20.63;30.00;32067.32;4800.00;0.00;0.00;0.00;32067.32;0.00;1468.00
172.00;1.00;4.46;20.67;34.00;12826.93;0.00;0.00;0.00;0.00;12826.93;0.00;3171.00
173.00;1.00;4.01;20.46;31.00;5130.77;0.00;0.00;0.00;0.00;5130.77;0.00;2144.00
174.00;1.00;3.40;20.16;25.00;27973.19;4000.00;0.00;0.00;0.00;27973.19;0.00;1738.00
