datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1459.00
1.00;1.00;4.00;19.70;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;719.00
2.00;1.00;4.11;19.40;12.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;501.00
3.00;1.00;4.14;19.12;9.00;6521.71;1440.00;0.00;0.00;0.00;6521.71;0.00;516.00
4.00;1.00;4.08;19.12;11.00;8164.32;1760.00;0.00;0.00;0.00;8164.32;0.00;1488.00
5.00;1.00;4.04;19.19;9.00;3265.73;0.00;0.00;0.00;0.00;3265.73;0.00;1258.00
6.00;1.00;4.01;19.02;7.00;7780.65;1120.00;0.00;0.00;0.00;7780.65;0.00;445.00
7.00;0.88;4.06;19.06;13.00;8871.02;2756.00;2243.07;0.00;0.00;8871.02;0.00;245.00
8.00;0.94;3.80;19.27;4.00;6977.31;816.00;3767.00;0.00;0.00;6977.31;0.00;1202.00
9.00;0.50;4.23;19.39;11.00;6616.10;2332.00;5577.13;0.00;0.00;6616.10;0.00;2182.00
10.00;0.56;4.66;19.62;11.00;4378.94;2354.00;6122.92;0.00;0.00;4378.94;0.00;1231.00
11.00;0.56;5.24;19.80;11.00;3082.54;2288.00;5421.71;0.00;0.00;3082.54;0.00;815.00
12.00;0.62;4.18;19.91;11.00;2894.84;2530.00;4622.97;0.00;0.00;2894.84;0.00;3870.00
13.00;0.44;3.89;19.98;6.00;2097.88;1392.00;3352.38;0.00;0.00;2097.88;0.00;3829.00
14.00;0.88;4.04;19.92;11.00;3158.22;2574.00;1706.82;0.00;0.00;3158.22;0.00;1414.00
15.00;0.81;4.07;19.88;6.00;4384.98;1440.00;6.71;0.00;0.00;4384.98;0.00;724.00
16.00;0.69;4.02;19.80;11.00;5932.63;2266.00;0.00;52349.62;0.83;58282.26;0.00;1317.00
17.00;0.88;3.84;19.79;9.00;7684.71;1926.00;0.00;0.00;0.00;7684.71;0.00;2561.00
18.00;1.00;3.74;19.83;8.00;8645.35;1776.00;0.00;0.00;0.00;8645.35;0.00;2172.00
