datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;18.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3118.00
1.00;1.00;4.00;19.34;12.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1355.00
2.00;1.00;4.11;18.71;18.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1890.00
3.00;1.00;4.14;18.11;10.00;19445.23;1600.00;0.00;0.00;0.00;19445.23;0.00;1099.00
4.00;1.00;4.08;17.99;16.00;25539.42;2560.00;0.00;0.00;0.00;25539.42;0.00;1230.00
5.00;1.00;4.04;18.03;12.00;27333.70;1920.00;0.00;0.00;0.00;27333.70;0.00;1018.00
6.00;1.00;4.01;18.09;10.00;28520.97;1600.00;0.00;0.00;0.00;28520.97;0.00;2211.00
7.00;0.95;4.06;18.16;15.00;29287.41;3390.00;3471.48;0.00;0.00;29287.41;0.00;3341.00
8.00;0.86;3.80;18.36;9.00;26470.76;2034.00;5829.70;0.00;0.00;26470.76;0.00;1676.00
9.00;0.81;4.23;18.50;16.00;25259.17;3872.00;8630.75;0.00;0.00;25259.17;0.00;2187.00
10.00;0.57;4.66;18.73;14.00;21666.30;2856.00;9475.11;0.00;0.00;21666.30;0.00;4906.00
11.00;0.67;5.24;18.89;16.00;20108.38;3488.00;8389.75;0.00;0.00;20108.38;0.00;6619.00
12.00;0.62;4.18;19.02;18.00;19266.16;4428.00;7153.48;0.00;0.00;19266.16;0.00;6172.00
13.00;0.57;3.89;19.08;11.00;20465.74;2640.00;5188.62;72773.75;1.16;93239.48;0.00;5613.00
14.00;0.86;4.04;19.06;19.00;23598.85;3876.00;2641.61;0.00;0.00;23598.85;0.00;4492.00
15.00;0.57;4.07;19.10;12.00;25450.69;2688.00;10.39;0.00;0.00;25450.69;0.00;2699.00
16.00;0.90;4.02;19.09;16.00;28486.42;3968.00;0.00;0.00;0.00;28486.42;0.00;2608.00
17.00;0.95;3.84;19.17;15.00;28981.67;3450.00;0.00;0.00;0.00;28981.67;0.00;5013.00
18.00;1.00;3.74;19.24;12.00;29790.21;2496.00;0.00;0.00;0.00;29790.21;0.00;4790.00
19.00;1.00;3.44;19.30;17.00;30889.15;3570.00;0.00;0.00;0.00;30889.15;0.00;4913.00
20.00;1.00;3.23;19.39;10.00;31097.70;2380.00;0.00;0.00;0.00;31097.70;0.00;5525.00
21.00;1.00;3.10;19.45;17.00;32234.06;3910.00;0.00;0.00;0.00;32234.06;0.00;5846.00
22.00;1.00;2.65;19.56;14.00;31981.57;3164.00;0.00;0.00;0.00;31981.57;0.00;4849.00
23.00;1.00;2.13;19.63;15.00;32968.08;3120.00;0.00;0.00;0.00;32968.08;0.00;2313.00
24.00;1.00;1.95;19.69;17.00;34058.28;2720.00;0.00;0.00;0.00;34058.28;0.00;1904.00
25.00;1.00;1.76;19.75;9.00;13623.31;0.00;0.00;0.00;0.00;13623.31;0.00;4190.00
26.00;1.00;1.61;19.31;18.00;5449.32;0.00;0.00;0.00;0.00;5449.32;0.00;1686.00
27.00;1.00;1.46;18.70;8.00;25153.13;1280.00;0.00;0.00;0.00;25153.13;0.00;1413.00
28.00;1.00;1.43;18.57;14.00;31743.91;2240.00;0.00;0.00;0.00;31743.91;0.00;1101.00
29.00;1.00;1.39;18.60;13.00;33684.19;2080.00;0.00;0.00;0.00;33684.19;0.00;1330.00
30.00;1.00;1.30;18.66;11.00;34642.09;1760.00;0.00;0.00;0.00;34642.09;0.00;1260.00
31.00;1.00;1.13;18.73;18.00;35385.92;4140.00;4018.63;0.00;0.00;35385.92;0.00;2896.00
32.00;1.00;1.09;18.95;11.00;32124.37;2222.00;6118.85;0.00;0.00;32124.37;0.00;2110.00
33.00;1.00;1.20;19.09;17.00;31004.56;3842.00;7923.85;0.00;0.00;31004.56;0.00;2527.00
34.00;1.00;1.21;19.28;15.00;28531.46;3450.00;7680.03;0.00;0.00;28531.46;0.00;2911.00
35.00;1.00;1.25;19.40;12.00;28135.49;2928.00;6471.72;0.00;0.00;28135.49;0.00;4876.00
36.00;1.00;1.31;19.46;19.00;29094.22;3914.00;4870.39;0.00;0.00;29094.22;0.00;4112.00
37.00;1.00;1.28;19.53;10.00;29852.26;2360.00;3493.53;0.00;0.00;29852.26;0.00;4823.00
38.00;1.00;1.16;19.56;16.00;32037.31;3520.00;2273.93;0.00;0.00;32037.31;0.00;3311.00
39.00;1.00;0.92;19.62;9.00;33109.03;2124.00;12.38;0.00;0.00;33109.03;0.00;3008.00
40.00;1.00;0.82;19.61;12.00;36072.62;2472.00;0.00;0.00;0.00;36072.62;0.00;3057.00
41.00;1.00;0.74;19.67;15.00;37163.77;3510.00;0.00;0.00;0.00;37163.77;0.00;2580.00
42.00;1.00;0.81;19.77;11.00;37136.49;2200.00;0.00;0.00;0.00;37136.49;0.00;3530.00
43.00;1.00;0.75;19.84;18.00;37943.59;4428.00;0.00;0.00;0.00;37943.59;0.00;4713.00
44.00;1.00;0.94;19.97;11.00;37081.33;2662.00;0.00;0.00;0.00;37081.33;0.00;4777.00
45.00;1.00;0.91;20.05;15.00;35673.81;3210.00;0.00;0.00;0.00;35673.81;0.00;4713.00
46.00;1.00;1.04;20.10;10.00;14269.52;0.00;0.00;0.00;0.00;14269.52;0.00;4256.00
47.00;1.00;1.19;19.63;14.00;5707.81;0.00;0.00;0.00;0.00;5707.81;0.00;2631.00
48.00;1.00;0.98;19.00;17.00;26098.87;2720.00;0.00;0.00;0.00;26098.87;0.00;1453.00
49.00;1.00;0.98;18.88;12.00;32149.19;1920.00;0.00;0.00;0.00;32149.19;0.00;953.00
50.00;1.00;0.93;18.88;18.00;34911.26;2880.00;0.00;0.00;0.00;34911.26;0.00;2000.00
51.00;1.00;0.94;18.96;12.00;35495.56;1920.00;0.00;0.00;0.00;35495.56;0.00;1381.00
52.00;1.00;0.94;19.03;15.00;36388.76;2400.00;0.00;0.00;0.00;36388.76;0.00;2094.00
53.00;1.00;0.99;19.12;14.00;36535.73;2240.00;0.00;0.00;0.00;36535.73;0.00;2678.00
54.00;1.00;0.92;19.22;13.00;36742.33;2080.00;0.00;0.00;0.00;36742.33;0.00;1583.00
55.00;1.00;1.34;19.30;20.00;37100.79;4960.00;1526.69;70873.96;1.13;107974.75;0.00;1571.00
56.00;1.00;1.69;19.51;12.00;34220.64;2496.00;2731.06;0.00;0.00;34220.64;0.00;2316.00
57.00;1.00;2.48;19.63;18.00;33663.33;3816.00;4628.32;0.00;0.00;33663.33;0.00;1810.00
58.00;1.00;3.39;19.83;13.00;30741.13;3120.00;5456.80;0.00;0.00;30741.13;0.00;2503.00
59.00;1.00;3.82;20.00;12.00;28692.17;2760.00;5289.46;0.00;0.00;28692.17;0.00;2068.00
60.00;1.00;3.68;20.13;19.00;11476.87;0.00;0.00;0.00;0.00;11476.87;0.00;2677.00
61.00;1.00;2.75;19.71;11.00;4590.75;0.00;0.00;0.00;0.00;4590.75;0.00;6432.00
62.00;1.00;3.29;19.11;19.00;23959.62;3914.00;2747.42;0.00;0.00;23959.62;0.00;4496.00
63.00;1.00;3.03;19.12;10.00;26421.67;2140.00;12.09;0.00;0.00;26421.67;0.00;3381.00
64.00;1.00;2.32;19.08;14.00;30423.78;3332.00;0.00;0.00;0.00;30423.78;0.00;4447.00
65.00;1.00;1.37;19.12;16.00;32073.55;3616.00;0.00;0.00;0.00;32073.55;0.00;5823.00
66.00;1.00;0.87;19.16;10.00;33692.38;2100.00;0.00;0.00;0.00;33692.38;0.00;5533.00
67.00;1.00;0.59;19.18;20.00;35867.82;4080.00;0.00;0.00;0.00;35867.82;0.00;4146.00
68.00;1.00;0.33;19.28;13.00;35889.33;3146.00;0.00;0.00;0.00;35889.33;0.00;6168.00
69.00;1.00;-0.21;19.35;18.00;36866.60;4068.00;0.00;0.00;0.00;36866.60;0.00;4492.00
70.00;1.00;-0.56;19.43;10.00;37399.38;2300.00;0.00;0.00;0.00;37399.38;0.00;3939.00
71.00;1.00;-0.53;19.46;13.00;14959.75;0.00;0.00;0.00;0.00;14959.75;0.00;1635.00
72.00;1.00;-0.75;18.97;17.00;31572.96;2720.00;0.00;0.00;0.00;31572.96;0.00;1543.00
73.00;1.00;-0.68;18.90;9.00;34397.67;1440.00;0.00;0.00;0.00;34397.67;0.00;1413.00
74.00;1.00;-0.61;18.87;18.00;38018.43;2880.00;0.00;0.00;0.00;38018.43;0.00;918.00
75.00;1.00;-0.66;18.95;9.00;38479.21;1440.00;0.00;0.00;0.00;38479.21;0.00;1303.00
76.00;1.00;-0.82;19.01;15.00;38233.95;2400.00;0.00;71005.42;1.13;109239.37;0.00;1971.00
77.00;1.00;-0.64;19.07;14.00;39260.14;2240.00;0.00;0.00;0.00;39260.14;0.00;1156.00
78.00;1.00;-0.35;19.16;10.00;39630.82;1600.00;0.00;0.00;0.00;39630.82;0.00;1482.00
79.00;1.00;0.29;19.25;17.00;39925.89;3570.00;4403.07;0.00;0.00;39925.89;0.00;2945.00
80.00;0.86;0.87;19.50;11.00;35591.02;2684.00;6237.76;0.00;0.00;35591.02;0.00;2539.00
81.00;0.67;1.57;19.70;16.00;32925.65;3296.00;6577.91;0.00;0.00;32925.65;0.00;2651.00
82.00;0.57;3.02;19.88;12.00;26383.54;2568.00;5518.44;0.00;0.00;26383.54;0.00;4167.00
83.00;0.52;4.09;19.93;13.00;19849.13;3016.00;5414.09;0.00;0.00;19849.13;0.00;6041.00
84.00;0.52;4.07;19.89;17.00;15759.48;4182.00;5984.80;0.00;0.00;15759.48;0.00;6946.00
85.00;0.48;4.35;19.80;11.00;13433.00;2596.00;5457.20;0.00;0.00;13433.00;0.00;5773.00
86.00;0.71;4.41;19.63;18.00;18452.46;3780.00;2905.89;0.00;0.00;18452.46;0.00;3148.00
87.00;0.86;4.27;19.55;8.00;23511.99;1632.00;14.00;0.00;0.00;23511.99;0.00;3017.00
88.00;0.86;3.92;19.47;15.00;28633.30;3720.00;0.00;0.00;0.00;28633.30;0.00;6569.00
