datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;14.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1455.00
1.00;1.00;4.00;19.72;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2992.00
2.00;1.00;4.11;19.44;15.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1240.00
3.00;1.00;4.14;19.17;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;628.00
4.00;1.00;4.08;18.90;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;982.00
5.00;1.00;4.04;18.64;11.00;9170.92;1760.00;0.00;0.00;0.00;9170.92;0.00;2163.00
6.00;1.00;4.01;18.64;11.00;11683.42;1760.00;0.00;0.00;0.00;11683.42;0.00;1610.00
7.00;0.89;4.06;18.70;16.00;12702.15;3680.00;3367.62;0.00;0.00;12702.15;0.00;667.00
8.00;0.89;3.80;18.91;9.00;9944.59;1800.00;5655.62;0.00;0.00;9944.59;0.00;2456.00
9.00;0.78;4.23;19.05;16.00;8803.11;3968.00;8373.31;0.00;0.00;8803.11;0.00;2595.00
10.00;0.67;4.66;19.29;10.00;5288.21;2300.00;9192.75;45779.13;0.73;51067.34;0.00;4947.00
11.00;0.50;5.24;19.43;11.00;4307.88;2486.00;8139.96;0.00;0.00;4307.88;0.00;4304.00
12.00;0.67;4.18;19.53;15.00;4235.19;3300.00;6940.72;0.00;0.00;4235.19;0.00;4353.00
13.00;0.61;3.89;19.60;9.00;4958.73;2214.00;5033.52;0.00;0.00;4958.73;0.00;2003.00
14.00;0.72;4.04;19.61;15.00;7208.31;3240.00;2562.71;0.00;0.00;7208.31;0.00;1353.00
15.00;0.72;4.07;19.65;6.00;8911.79;1212.00;10.08;0.00;0.00;8911.79;0.00;2646.00
16.00;0.89;4.02;19.61;13.00;12342.57;3016.00;0.00;0.00;0.00;12342.57;0.00;1047.00
17.00;1.00;3.84;19.70;15.00;12643.44;3210.00;0.00;0.00;0.00;12643.44;0.00;1460.00
18.00;1.00;3.74;19.80;11.00;12767.74;2662.00;0.00;0.00;0.00;12767.74;0.00;3129.00
19.00;1.00;3.44;19.88;15.00;13236.87;3360.00;0.00;0.00;0.00;13236.87;0.00;3380.00
20.00;1.00;3.23;19.98;8.00;13177.49;1760.00;0.00;0.00;0.00;13177.49;0.00;4623.00
21.00;1.00;3.10;20.04;13.00;12253.31;2756.00;0.00;0.00;0.00;12253.31;0.00;3666.00
22.00;1.00;2.65;20.09;9.00;4901.32;0.00;0.00;0.00;0.00;4901.32;0.00;2677.00
23.00;1.00;2.13;19.90;10.00;1960.53;0.00;0.00;0.00;0.00;1960.53;0.00;1740.00
24.00;1.00;1.95;19.63;14.00;784.21;0.00;0.00;0.00;0.00;784.21;0.00;1693.00
25.00;1.00;1.76;19.34;11.00;313.68;0.00;0.00;0.00;0.00;313.68;0.00;1338.00
26.00;1.00;1.61;19.03;15.00;125.47;0.00;0.00;0.00;0.00;125.47;0.00;608.00
27.00;1.00;1.46;18.73;11.00;50.19;0.00;0.00;0.00;0.00;50.19;0.00;466.00
28.00;1.00;1.43;18.42;12.00;10288.37;1920.00;0.00;0.00;0.00;10288.37;0.00;473.00
29.00;1.00;1.39;18.41;14.00;13109.33;2240.00;0.00;0.00;0.00;13109.33;0.00;2571.00
30.00;1.00;1.30;18.47;10.00;14060.70;1600.00;0.00;0.00;0.00;14060.70;0.00;837.00
31.00;1.00;1.13;18.54;15.00;14890.09;3750.00;3898.36;0.00;0.00;14890.09;0.00;1182.00
32.00;1.00;1.09;18.77;7.00;11700.14;1722.00;5936.10;0.00;0.00;11700.14;0.00;963.00
33.00;1.00;1.20;18.91;14.00;10537.84;3248.00;7687.45;0.00;0.00;10537.84;0.00;2013.00
34.00;1.00;1.21;19.11;11.00;8120.78;2222.00;7451.12;0.00;0.00;8120.78;0.00;3947.00
