datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;12.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1577.00
1.00;1.00;4.00;18.67;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;977.00
2.00;1.00;4.11;18.35;14.00;8855.93;2240.00;0.00;0.00;0.00;8855.93;0.00;1002.00
3.00;1.00;4.14;18.35;9.00;10857.21;1440.00;0.00;0.00;0.00;10857.21;0.00;854.00
4.00;1.00;4.08;18.39;13.00;12123.38;2080.00;0.00;0.00;0.00;12123.38;0.00;854.00
5.00;1.00;4.04;18.49;11.00;12291.71;1760.00;0.00;0.00;0.00;12291.71;0.00;626.00
6.00;1.00;4.01;18.57;7.00;12611.55;1120.00;0.00;0.00;0.00;12611.55;0.00;645.00
7.00;1.00;4.06;18.64;15.00;13176.27;3450.00;2809.25;0.00;0.00;13176.27;0.00;566.00
8.00;0.88;3.80;18.88;9.00;10332.51;2214.00;4717.57;0.00;0.00;10332.51;0.00;452.00
9.00;0.82;4.23;19.04;14.00;8520.97;3164.00;6984.22;0.00;0.00;8520.97;0.00;585.00
10.00;0.82;4.66;19.25;13.00;3408.39;0.00;0.00;0.00;0.00;3408.39;0.00;1874.00
11.00;0.65;5.24;19.03;13.00;1363.35;0.00;0.00;0.00;0.00;1363.35;0.00;893.00
12.00;0.65;4.18;18.77;14.00;545.34;0.00;0.00;0.00;0.00;545.34;0.00;1232.00
13.00;0.71;3.89;18.46;10.00;8442.04;2240.00;4198.92;0.00;0.00;8442.04;0.00;1236.00
14.00;0.65;4.04;18.57;14.00;8324.39;3164.00;2137.71;0.00;0.00;8324.39;0.00;1327.00
15.00;0.65;4.07;18.64;10.00;8938.18;2380.00;8.41;0.00;0.00;8938.18;0.00;2426.00
16.00;0.94;4.02;18.64;13.00;10950.26;2808.00;0.00;0.00;0.00;10950.26;0.00;3813.00
