datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;18.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;380.00
1.00;1.00;4.00;17.62;3.00;3916.85;480.00;0.00;0.00;0.00;3916.85;0.00;295.00
2.00;1.00;4.11;17.57;3.00;5092.72;480.00;0.00;0.00;0.00;5092.72;0.00;275.00
3.00;1.00;4.14;17.62;2.00;5529.48;320.00;0.00;0.00;0.00;5529.48;0.00;319.00
4.00;1.00;4.08;17.68;4.00;5802.40;640.00;0.00;0.00;0.00;5802.40;0.00;212.00
5.00;1.00;4.04;17.79;4.00;5747.40;640.00;0.00;0.00;0.00;5747.40;0.00;347.00
6.00;1.00;4.01;17.89;2.00;5757.66;320.00;0.00;0.00;0.00;5757.66;0.00;347.00
7.00;1.00;4.06;17.96;3.00;5982.13;684.00;495.64;8068.81;0.13;14050.94;0.00;293.00
8.00;1.00;3.80;18.11;3.00;5060.38;690.00;863.25;0.00;0.00;5060.38;0.00;469.00
9.00;0.50;4.23;18.21;4.00;2024.15;0.00;0.00;0.00;0.00;2024.15;0.00;197.00
10.00;0.75;4.66;17.98;2.00;809.66;0.00;0.00;0.00;0.00;809.66;0.00;1235.00
11.00;0.75;5.24;17.68;3.00;2629.40;618.00;1341.52;0.00;0.00;2629.40;0.00;3154.00
12.00;0.50;4.18;17.68;3.00;3129.45;744.00;1178.62;0.00;0.00;3129.45;0.00;1793.00
13.00;0.75;3.89;17.69;2.00;3885.85;432.00;849.42;0.00;0.00;3885.85;0.00;317.00
14.00;0.75;4.04;17.70;3.00;4639.69;660.00;427.26;0.00;0.00;4639.69;0.00;1259.00
15.00;1.00;4.07;17.75;2.00;5025.69;408.00;1.50;0.00;0.00;5025.69;0.00;1204.00
16.00;0.75;4.02;17.78;2.00;5591.58;468.00;0.00;0.00;0.00;5591.58;0.00;808.00
17.00;0.75;3.84;17.85;3.00;5649.33;684.00;0.00;0.00;0.00;5649.33;0.00;2039.00
18.00;1.00;3.74;17.94;3.00;5749.44;654.00;0.00;0.00;0.00;5749.44;0.00;731.00
19.00;1.00;3.44;18.03;4.00;5524.79;952.00;0.00;0.00;0.00;5524.79;0.00;386.00
20.00;1.00;3.23;18.11;2.00;2209.92;0.00;0.00;0.00;0.00;2209.92;0.00;601.00
21.00;1.00;3.10;17.87;3.00;883.97;0.00;0.00;0.00;0.00;883.97;0.00;802.00
22.00;1.00;2.65;17.53;2.00;4420.35;488.00;0.00;0.00;0.00;4420.35;0.00;629.00
23.00;1.00;2.13;17.49;3.00;5567.60;666.00;0.00;0.00;0.00;5567.60;0.00;369.00
24.00;1.00;1.95;17.53;4.00;6025.68;640.00;0.00;0.00;0.00;6025.68;0.00;836.00
25.00;1.00;1.76;17.60;1.00;6274.12;160.00;0.00;0.00;0.00;6274.12;0.00;749.00
26.00;1.00;1.61;17.65;3.00;6719.62;480.00;0.00;0.00;0.00;6719.62;0.00;66.00
27.00;1.00;1.46;17.75;2.00;6747.44;320.00;0.00;0.00;0.00;6747.44;0.00;129.00
28.00;1.00;1.43;17.83;3.00;6908.85;480.00;0.00;0.00;0.00;6908.85;0.00;198.00
29.00;1.00;1.39;17.93;2.00;6902.04;320.00;0.00;0.00;0.00;6902.04;0.00;102.00
30.00;1.00;1.30;18.01;2.00;6814.06;320.00;0.00;0.00;0.00;6814.06;0.00;181.00
31.00;1.00;1.13;18.08;4.00;2725.63;0.00;0.00;0.00;0.00;2725.63;0.00;167.00
32.00;1.00;1.09;17.82;2.00;1090.25;0.00;0.00;0.00;0.00;1090.25;0.00;101.00
33.00;1.00;1.20;17.45;4.00;4937.46;800.00;1198.00;0.00;0.00;4937.46;0.00;213.00
34.00;1.00;1.21;17.52;3.00;5169.76;702.00;1189.40;7424.47;0.12;12594.23;0.00;175.00
35.00;1.00;1.25;17.60;3.00;5341.66;612.00;1026.56;0.00;0.00;5341.66;0.00;64.00
36.00;1.00;1.31;17.67;3.00;5569.57;744.00;792.86;0.00;0.00;5569.57;0.00;1466.00
37.00;1.00;1.28;17.75;2.00;5724.18;444.00;570.31;0.00;0.00;5724.18;0.00;1718.00
38.00;1.00;1.16;17.80;3.00;6125.20;690.00;367.77;0.00;0.00;6125.20;0.00;359.00
39.00;1.00;0.92;17.88;1.00;6297.24;232.00;1.79;0.00;0.00;6297.24;0.00;327.00
40.00;1.00;0.82;17.90;2.00;6930.07;488.00;0.00;0.00;0.00;6930.07;0.00;231.00
41.00;1.00;0.74;17.99;3.00;7022.74;750.00;0.00;0.00;0.00;7022.74;0.00;292.00
42.00;1.00;0.81;18.09;2.00;6255.56;496.00;0.00;0.00;0.00;6255.56;0.00;1160.00
43.00;1.00;0.75;18.12;4.00;2502.22;0.00;0.00;0.00;0.00;2502.22;0.00;591.00
44.00;1.00;0.94;17.84;2.00;1000.89;0.00;0.00;0.00;0.00;1000.89;0.00;528.00
45.00;1.00;0.91;17.45;4.00;4938.30;912.00;0.00;0.00;0.00;4938.30;0.00;527.00
46.00;1.00;1.04;17.43;3.00;5887.90;636.00;0.00;0.00;0.00;5887.90;0.00;644.00
47.00;1.00;1.19;17.47;3.00;6400.34;636.00;0.00;0.00;0.00;6400.34;0.00;225.00
48.00;1.00;0.98;17.55;3.00;6579.13;480.00;0.00;0.00;0.00;6579.13;0.00;1270.00
49.00;1.00;0.98;17.62;2.00;6809.28;320.00;0.00;0.00;0.00;6809.28;0.00;1740.00
50.00;1.00;0.93;17.70;3.00;7012.32;480.00;0.00;0.00;0.00;7012.32;0.00;324.00
51.00;1.00;0.94;17.79;3.00;7024.62;480.00;0.00;0.00;0.00;7024.62;0.00;55.00
52.00;1.00;0.94;17.89;2.00;7049.98;320.00;0.00;0.00;0.00;7049.98;0.00;44.00
53.00;1.00;0.99;17.97;3.00;7177.53;480.00;0.00;0.00;0.00;7177.53;0.00;246.00
54.00;1.00;0.92;18.08;3.00;6534.42;480.00;0.00;4795.06;0.08;11329.48;0.00;115.00
55.00;1.00;1.34;18.13;4.00;2613.77;0.00;0.00;0.00;0.00;2613.77;0.00;80.00
56.00;1.00;1.69;17.87;2.00;1045.51;0.00;0.00;0.00;0.00;1045.51;0.00;263.00
57.00;1.00;2.48;17.51;3.00;4797.73;696.00;702.95;0.00;0.00;4797.73;0.00;172.00
58.00;1.00;3.39;17.56;3.00;5204.07;720.00;848.63;0.00;0.00;5204.07;0.00;1451.00
59.00;1.00;3.82;17.67;3.00;5075.80;708.00;842.89;0.00;0.00;5075.80;0.00;1240.00
60.00;1.00;3.68;17.78;3.00;4964.55;750.00;622.17;0.00;0.00;4964.55;0.00;1777.00
61.00;1.00;2.75;17.87;2.00;5084.13;428.00;601.59;0.00;0.00;5084.13;0.00;332.00
62.00;1.00;3.29;17.91;3.00;5560.57;696.00;442.37;0.00;0.00;5560.57;0.00;323.00
63.00;1.00;3.03;18.01;1.00;5485.66;236.00;1.75;0.00;0.00;5485.66;0.00;280.00
64.00;1.00;2.32;18.03;2.00;2194.26;0.00;0.00;0.00;0.00;2194.26;0.00;403.00
65.00;1.00;1.37;17.76;2.00;877.71;0.00;0.00;0.00;0.00;877.71;0.00;753.00
66.00;1.00;0.87;17.38;2.00;4776.85;480.00;0.00;0.00;0.00;4776.85;0.00;1306.00
67.00;1.00;0.59;17.32;3.00;6074.78;636.00;0.00;0.00;0.00;6074.78;0.00;784.00
68.00;1.00;0.33;17.36;2.00;6547.87;424.00;0.00;0.00;0.00;6547.87;0.00;823.00
