datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;18.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2644.00
1.00;1.00;4.00;17.68;4.00;8393.14;640.00;0.00;0.00;0.00;8393.14;0.00;1253.00
2.00;1.00;4.11;17.65;6.00;11186.08;960.00;0.00;0.00;0.00;11186.08;0.00;1250.00
3.00;1.00;4.14;17.70;3.00;12045.44;480.00;0.00;0.00;0.00;12045.44;0.00;1188.00
4.00;1.00;4.08;17.77;6.00;12686.89;960.00;0.00;0.00;0.00;12686.89;0.00;983.00
5.00;1.00;4.04;17.87;6.00;12713.43;960.00;0.00;0.00;0.00;12713.43;0.00;704.00
6.00;1.00;4.01;17.97;5.00;12786.55;800.00;0.00;0.00;0.00;12786.55;0.00;618.00
7.00;1.00;4.06;18.06;6.00;11610.39;1320.00;2297.07;0.00;0.00;11610.39;0.00;784.00
8.00;0.75;3.80;18.20;3.00;4644.16;0.00;0.00;0.00;0.00;4644.16;0.00;1008.00
9.00;0.88;4.23;18.01;6.00;1857.66;0.00;0.00;0.00;0.00;1857.66;0.00;945.00
10.00;0.38;4.66;17.76;5.00;743.06;0.00;0.00;0.00;0.00;743.06;0.00;1019.00
11.00;0.62;5.24;17.49;5.00;7044.52;1250.00;5550.38;0.00;0.00;7044.52;0.00;3463.00
12.00;0.38;4.18;17.62;8.00;6297.85;1856.00;4732.33;0.00;0.00;6297.85;0.00;2529.00
13.00;0.62;3.89;17.71;5.00;6668.33;1230.00;3433.02;0.00;0.00;6668.33;0.00;1600.00
14.00;0.88;4.04;17.73;8.00;8142.19;1712.00;1747.77;0.00;0.00;8142.19;0.00;1458.00
15.00;0.88;4.07;17.77;3.00;9397.04;726.00;6.87;0.00;0.00;9397.04;0.00;1319.00
16.00;0.88;4.02;17.77;6.00;11538.49;1296.00;0.00;67214.69;1.07;78753.18;0.00;2014.00
17.00;1.00;3.84;17.84;6.00;12075.54;1260.00;0.00;0.00;0.00;12075.54;0.00;1851.00
18.00;1.00;3.74;17.92;4.00;12426.83;976.00;0.00;0.00;0.00;12426.83;0.00;2091.00
19.00;1.00;3.44;18.00;7.00;12389.89;1498.00;0.00;0.00;0.00;12389.89;0.00;5976.00
20.00;1.00;3.23;18.09;3.00;4955.96;0.00;0.00;0.00;0.00;4955.96;0.00;5885.00
21.00;1.00;3.10;17.90;7.00;1982.38;0.00;0.00;0.00;0.00;1982.38;0.00;4460.00
22.00;1.00;2.65;17.63;4.00;9457.82;896.00;0.00;0.00;0.00;9457.82;0.00;2629.00
23.00;1.00;2.13;17.60;4.00;12042.64;864.00;0.00;0.00;0.00;12042.64;0.00;2451.00
24.00;1.00;1.95;17.64;7.00;13319.35;1120.00;0.00;0.00;0.00;13319.35;0.00;1323.00
25.00;1.00;1.76;17.72;5.00;13775.20;800.00;0.00;0.00;0.00;13775.20;0.00;1100.00
26.00;1.00;1.61;17.79;7.00;14272.43;1120.00;0.00;0.00;0.00;14272.43;0.00;832.00
27.00;1.00;1.46;17.89;5.00;14378.43;800.00;0.00;0.00;0.00;14378.43;0.00;963.00
28.00;1.00;1.43;17.97;6.00;14723.39;960.00;0.00;0.00;0.00;14723.39;0.00;595.00
29.00;1.00;1.39;18.06;6.00;14817.16;960.00;0.00;0.00;0.00;14817.16;0.00;1334.00
30.00;1.00;1.30;18.16;4.00;5926.87;0.00;0.00;0.00;0.00;5926.87;0.00;1033.00
31.00;1.00;1.13;17.96;7.00;2370.75;0.00;0.00;0.00;0.00;2370.75;0.00;809.00
32.00;1.00;1.09;17.65;5.00;9402.41;1220.00;4048.53;0.00;0.00;9402.41;0.00;723.00
33.00;1.00;1.20;17.72;7.00;10113.90;1526.00;5242.56;0.00;0.00;10113.90;0.00;857.00
34.00;1.00;1.21;17.85;5.00;9476.18;1240.00;5081.06;0.00;0.00;9476.18;0.00;981.00
35.00;1.00;1.25;17.94;4.00;9547.67;800.00;4281.51;66493.41;1.06;76041.08;0.00;2892.00
36.00;1.00;1.31;18.01;7.00;9437.28;1484.00;3222.01;0.00;0.00;9437.28;0.00;4283.00
37.00;1.00;1.28;18.05;5.00;3774.91;0.00;0.00;0.00;0.00;3774.91;0.00;3057.00
38.00;1.00;1.16;17.79;6.00;1509.96;0.00;0.00;0.00;0.00;1509.96;0.00;2552.00
39.00;1.00;0.92;17.46;3.00;10149.16;642.00;8.19;0.00;0.00;10149.16;0.00;3347.00
40.00;1.00;0.82;17.41;5.00;13173.71;1080.00;0.00;0.00;0.00;13173.71;0.00;3049.00
41.00;1.00;0.74;17.46;6.00;14148.57;1404.00;0.00;0.00;0.00;14148.57;0.00;1884.00
42.00;1.00;0.81;17.55;5.00;14403.11;1230.00;0.00;0.00;0.00;14403.11;0.00;2033.00
43.00;1.00;0.75;17.64;7.00;14615.88;1596.00;0.00;0.00;0.00;14615.88;0.00;2649.00
44.00;1.00;0.94;17.74;6.00;14549.91;1344.00;0.00;0.00;0.00;14549.91;0.00;3309.00
45.00;1.00;0.91;17.84;7.00;14638.35;1414.00;0.00;0.00;0.00;14638.35;0.00;2707.00
46.00;1.00;1.04;17.94;5.00;14689.19;1050.00;0.00;0.00;0.00;14689.19;0.00;2524.00
47.00;1.00;1.19;18.02;5.00;14912.10;1040.00;0.00;0.00;0.00;14912.10;0.00;1689.00
