datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;22.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;585.00
1.00;1.00;4.00;21.71;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;387.00
2.00;1.00;4.11;21.42;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;380.00
3.00;1.00;4.14;21.14;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;431.00
4.00;1.00;4.08;20.87;8.00;5417.52;1280.00;0.00;0.00;0.00;5417.52;0.00;1243.00
5.00;1.00;4.04;20.88;10.00;6766.60;1600.00;0.00;0.00;0.00;6766.60;0.00;1238.00
6.00;1.00;4.01;20.95;9.00;7125.06;1440.00;0.00;0.00;0.00;7125.06;0.00;1378.00
7.00;1.00;4.06;21.04;13.00;7388.99;2600.00;1928.56;19201.80;0.31;26590.78;0.00;2323.00
8.00;0.87;3.80;21.25;5.00;5650.49;1180.00;3238.85;0.00;0.00;5650.49;0.00;2051.00
9.00;0.80;4.23;21.39;11.00;5130.94;2508.00;4795.23;0.00;0.00;5130.94;0.00;1241.00
10.00;0.60;4.66;21.63;8.00;3124.25;1760.00;5264.52;0.00;0.00;3124.25;0.00;3575.00
11.00;0.47;5.24;21.78;7.00;2445.21;1722.00;4661.62;0.00;0.00;2445.21;0.00;5374.00
12.00;0.60;4.18;21.88;12.00;2455.54;2688.00;3974.84;0.00;0.00;2455.54;0.00;1668.00
13.00;0.53;3.89;21.97;11.00;2015.27;2684.00;2882.58;0.00;0.00;2015.27;0.00;5128.00
14.00;0.67;4.04;21.99;14.00;1701.52;2800.00;1467.61;0.00;0.00;1701.52;0.00;1552.00
15.00;1.00;4.07;21.95;7.00;2443.19;1414.00;5.77;0.00;0.00;2443.19;0.00;574.00
16.00;0.73;4.02;21.82;12.00;3956.15;3000.00;0.00;0.00;0.00;3956.15;0.00;1605.00
17.00;0.87;3.84;21.82;9.00;5385.20;1926.00;0.00;0.00;0.00;5385.20;0.00;3559.00
18.00;1.00;3.74;21.84;7.00;6643.66;1596.00;0.00;0.00;0.00;6643.66;0.00;2499.00
19.00;1.00;3.44;21.89;13.00;7373.11;2912.00;0.00;0.00;0.00;7373.11;0.00;3013.00
20.00;1.00;3.23;22.01;6.00;6957.33;1380.00;0.00;0.00;0.00;6957.33;0.00;3457.00
21.00;1.00;3.10;22.06;12.00;2782.93;0.00;0.00;0.00;0.00;2782.93;0.00;2965.00
22.00;1.00;2.65;21.87;9.00;1113.17;0.00;0.00;0.00;0.00;1113.17;0.00;1988.00
23.00;1.00;2.13;21.60;8.00;6378.79;1664.00;0.00;0.00;0.00;6378.79;0.00;945.00
24.00;1.00;1.95;21.62;11.00;7547.03;1760.00;0.00;0.00;0.00;7547.03;0.00;632.00
25.00;1.00;1.76;21.69;7.00;3018.81;0.00;0.00;0.00;0.00;3018.81;0.00;476.00
26.00;1.00;1.61;21.50;12.00;7309.62;1920.00;0.00;0.00;0.00;7309.62;0.00;323.00
27.00;1.00;1.46;21.56;8.00;7861.72;1280.00;0.00;0.00;0.00;7861.72;0.00;424.00
28.00;1.00;1.43;21.61;12.00;8515.92;1920.00;0.00;0.00;0.00;8515.92;0.00;345.00
29.00;1.00;1.39;21.72;12.00;8413.77;1920.00;0.00;0.00;0.00;8413.77;0.00;1469.00
30.00;1.00;1.30;21.82;9.00;8408.37;1440.00;0.00;0.00;0.00;8408.37;0.00;996.00
31.00;1.00;1.13;21.90;14.00;8736.84;3024.00;2232.50;0.00;0.00;8736.84;0.00;552.00
32.00;1.00;1.09;22.14;7.00;6636.58;1456.00;3399.48;0.00;0.00;6636.58;0.00;533.00
33.00;1.00;1.20;22.28;12.00;2654.63;0.00;0.00;0.00;0.00;2654.63;0.00;1373.00
34.00;1.00;1.21;22.05;8.00;1061.85;0.00;0.00;0.00;0.00;1061.85;0.00;1411.00
35.00;1.00;1.25;21.76;9.00;424.74;0.00;0.00;0.00;0.00;424.74;0.00;3074.00
36.00;1.00;1.31;21.44;12.00;6404.72;2928.00;2706.21;0.00;0.00;6404.72;0.00;3001.00
37.00;1.00;1.28;21.62;7.00;5329.03;1498.00;1940.86;0.00;0.00;5329.03;0.00;2388.00
38.00;1.00;1.16;21.65;13.00;6264.87;2600.00;1263.33;0.00;0.00;6264.87;0.00;1147.00
39.00;1.00;0.92;21.74;9.00;6420.91;1908.00;6.88;0.00;0.00;6420.91;0.00;2799.00
40.00;1.00;0.82;21.75;11.00;7728.50;2574.00;0.00;0.00;0.00;7728.50;0.00;4990.00
