datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;524.00
1.00;1.00;4.00;19.52;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;336.00
2.00;1.00;4.11;19.06;5.00;37364.54;800.00;0.00;0.00;0.00;37364.54;0.00;338.00
3.00;1.00;4.14;18.96;3.00;14945.81;0.00;0.00;0.00;0.00;14945.81;0.00;240.00
4.00;1.00;4.08;18.66;5.00;37874.35;800.00;0.00;0.00;0.00;37874.35;0.00;167.00
5.00;1.00;4.04;18.57;4.00;50155.16;640.00;0.00;0.00;0.00;50155.16;0.00;149.00
6.00;1.00;4.01;18.60;3.00;55074.68;480.00;0.00;0.00;0.00;55074.68;0.00;151.00
7.00;1.00;4.06;18.66;5.00;57249.33;1250.00;5571.20;0.00;0.00;57249.33;0.00;128.00
8.00;0.80;3.80;18.81;4.00;54362.73;872.00;9701.64;0.00;0.00;54362.73;0.00;243.00
9.00;0.80;4.23;18.95;5.00;51737.57;1250.00;14742.52;0.00;0.00;51737.57;0.00;179.00
10.00;0.80;4.66;19.12;3.00;46864.88;612.00;16598.58;0.00;0.00;46864.88;0.00;83.00
11.00;0.00;5.24;19.27;4.00;18745.95;856.00;15073.60;0.00;0.00;18745.95;0.00;125.00
12.00;0.40;4.18;19.16;4.00;32339.66;992.00;13242.45;0.00;0.00;32339.66;0.00;142.00
13.00;0.40;3.89;19.14;2.00;40686.54;484.00;9545.24;0.00;0.00;40686.54;0.00;250.00
14.00;1.00;4.04;19.14;4.00;47082.05;976.00;4801.13;0.00;0.00;47082.05;0.00;272.00
15.00;1.00;4.07;19.17;2.00;51898.27;428.00;16.89;0.00;0.00;51898.27;0.00;214.00
16.00;0.80;4.02;19.19;3.00;57018.66;714.00;0.00;0.00;0.00;57018.66;0.00;211.00
17.00;0.80;3.84;19.26;3.00;59043.11;606.00;0.00;0.00;0.00;59043.11;0.00;181.00
18.00;1.00;3.74;19.34;3.00;60412.29;648.00;0.00;0.00;0.00;60412.29;0.00;461.00
19.00;1.00;3.44;19.43;5.00;61303.73;1210.00;0.00;0.00;0.00;61303.73;0.00;707.00
20.00;1.00;3.23;19.52;2.00;62091.46;448.00;0.00;0.00;0.00;62091.46;0.00;692.00
21.00;1.00;3.10;19.60;4.00;63442.85;1000.00;0.00;203268.45;3.24;266711.30;0.00;579.00
22.00;1.00;2.65;19.69;3.00;64058.60;696.00;0.00;0.00;0.00;64058.60;0.00;543.00
23.00;1.00;2.13;19.77;3.00;25623.44;0.00;0.00;0.00;0.00;25623.44;0.00;528.00
24.00;1.00;1.95;19.47;5.00;10249.38;0.00;0.00;0.00;0.00;10249.38;0.00;239.00
25.00;1.00;1.76;19.04;4.00;45420.03;640.00;0.00;0.00;0.00;45420.03;0.00;90.00
26.00;1.00;1.61;18.95;5.00;18168.01;0.00;0.00;0.00;0.00;18168.01;0.00;300.00
27.00;1.00;1.46;18.60;2.00;45123.33;320.00;0.00;0.00;0.00;45123.33;0.00;71.00
28.00;1.00;1.43;18.50;4.00;58405.93;640.00;0.00;0.00;0.00;58405.93;0.00;135.00
29.00;1.00;1.39;18.52;4.00;63392.75;640.00;0.00;0.00;0.00;63392.75;0.00;207.00
30.00;1.00;1.30;18.59;3.00;65526.02;480.00;0.00;0.00;0.00;65526.02;0.00;665.00
31.00;1.00;1.13;18.67;5.00;66772.49;1040.00;6394.55;0.00;0.00;66772.49;0.00;270.00
32.00;1.00;1.09;18.82;2.00;63599.84;428.00;10127.09;0.00;0.00;63599.84;0.00;209.00
33.00;1.00;1.20;18.96;4.00;60830.90;944.00;13462.68;0.00;0.00;60830.90;0.00;981.00
34.00;1.00;1.21;19.11;4.00;57466.73;864.00;13365.19;201212.75;3.20;258679.48;0.00;1020.00
35.00;1.00;1.25;19.22;4.00;56518.92;984.00;11534.75;0.00;0.00;56518.92;0.00;1495.00
36.00;1.00;1.31;19.31;3.00;57302.91;642.00;8908.44;0.00;0.00;57302.91;0.00;877.00
37.00;1.00;1.28;19.38;2.00;59451.64;496.00;6408.81;0.00;0.00;59451.64;0.00;628.00
38.00;1.00;1.16;19.44;5.00;62102.37;1100.00;4132.66;0.00;0.00;62102.37;0.00;552.00
39.00;1.00;0.92;19.50;3.00;64523.28;672.00;20.13;0.00;0.00;64523.28;0.00;534.00
40.00;1.00;0.82;19.54;5.00;68810.38;1120.00;0.00;0.00;0.00;68810.38;0.00;365.00
41.00;1.00;0.74;19.61;4.00;70537.45;904.00;0.00;0.00;0.00;70537.45;0.00;844.00
42.00;1.00;0.81;19.70;4.00;71659.90;888.00;0.00;0.00;0.00;71659.90;0.00;1053.00
43.00;1.00;0.75;19.79;5.00;72138.73;1090.00;0.00;0.00;0.00;72138.73;0.00;990.00
44.00;1.00;0.94;19.88;3.00;72515.21;744.00;0.00;0.00;0.00;72515.21;0.00;1049.00
45.00;1.00;0.91;19.98;4.00;72696.77;960.00;0.00;0.00;0.00;72696.77;0.00;909.00
46.00;1.00;1.04;20.08;4.00;67473.23;912.00;0.00;0.00;0.00;67473.23;0.00;1015.00
47.00;1.00;1.19;20.13;4.00;26989.29;0.00;0.00;0.00;0.00;26989.29;0.00;782.00
