datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;20.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.00
1.00;1.00;4.00;19.36;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.00
2.00;1.00;4.11;18.74;1.00;5954.72;160.00;0.00;0.00;0.00;5954.72;0.00;48.00
3.00;1.00;4.14;18.60;1.00;8000.49;160.00;0.00;0.00;0.00;8000.49;0.00;48.00
4.00;1.00;4.08;18.61;1.00;8758.46;160.00;0.00;0.00;0.00;8758.46;0.00;51.00
5.00;1.00;4.04;18.67;0.00;9084.67;0.00;0.00;0.00;0.00;9084.67;0.00;67.00
6.00;1.00;4.01;18.74;0.00;9344.62;0.00;0.00;21649.25;0.34;30993.87;0.00;101.00
7.00;1.00;4.06;18.82;1.00;9481.53;224.00;635.15;0.00;0.00;9481.53;0.00;321.00
8.00;0.00;3.80;18.98;0.00;3792.61;0.00;1390.79;0.00;0.00;3792.61;0.00;292.00
9.00;0.00;4.23;18.74;0.00;1517.04;0.00;2348.01;0.00;0.00;1517.04;0.00;83.00
10.00;1.00;4.66;18.44;1.00;4869.78;226.00;2867.14;0.00;0.00;4869.78;0.00;48.00
11.00;1.00;5.24;18.46;0.00;5521.55;0.00;2804.17;0.00;0.00;5521.55;0.00;132.00
12.00;1.00;4.18;18.53;1.00;5767.47;204.00;2658.88;0.00;0.00;5767.47;0.00;166.00
13.00;0.00;3.89;18.58;0.00;2306.99;0.00;1855.72;0.00;0.00;2306.99;0.00;138.00
14.00;0.00;4.04;18.29;1.00;922.80;250.00;868.16;0.00;0.00;922.80;0.00;73.00
15.00;1.00;4.07;17.87;0.00;5284.27;0.00;2.83;0.00;0.00;5284.27;0.00;57.00
16.00;1.00;4.02;17.70;1.00;7547.15;238.00;0.00;0.00;0.00;7547.15;0.00;176.00
17.00;1.00;3.84;17.71;1.00;8269.71;238.00;0.00;0.00;0.00;8269.71;0.00;133.00
18.00;1.00;3.74;17.77;0.00;8623.37;0.00;0.00;0.00;0.00;8623.37;0.00;113.00
19.00;1.00;3.44;17.83;1.00;8962.56;234.00;0.00;0.00;0.00;8962.56;0.00;306.00
20.00;1.00;3.23;17.92;0.00;9078.24;0.00;0.00;0.00;0.00;9078.24;0.00;166.00
