datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;21.00;14.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;867.00
1.00;1.00;4.00;20.68;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;771.00
2.00;1.00;4.11;20.37;15.00;7967.80;2400.00;0.00;0.00;0.00;7967.80;0.00;600.00
3.00;1.00;4.14;20.38;10.00;9562.88;1600.00;0.00;0.00;0.00;9562.88;0.00;730.00
4.00;1.00;4.08;20.43;12.00;10674.16;1920.00;0.00;0.00;0.00;10674.16;0.00;679.00
5.00;1.00;4.04;20.51;13.00;10963.68;2080.00;0.00;0.00;0.00;10963.68;0.00;585.00
6.00;1.00;4.01;20.61;12.00;11028.55;1920.00;0.00;0.00;0.00;11028.55;0.00;3670.00
7.00;0.94;4.06;20.70;15.00;11196.29;3720.00;2568.22;0.00;0.00;11196.29;0.00;1926.00
8.00;0.82;3.80;20.93;9.00;8659.96;1980.00;4313.07;0.00;0.00;8659.96;0.00;1648.00
9.00;0.88;4.23;21.07;14.00;6777.77;2884.00;6385.62;0.00;0.00;6777.77;0.00;3083.00
10.00;0.71;4.66;21.26;11.00;2711.11;0.00;0.00;0.00;0.00;2711.11;0.00;1918.00
11.00;0.65;5.24;21.03;11.00;1084.44;0.00;0.00;0.00;0.00;1084.44;0.00;3836.00
12.00;0.59;4.18;20.77;13.00;433.78;0.00;0.00;0.00;0.00;433.78;0.00;2082.00
13.00;0.82;3.89;20.47;8.00;8106.58;1776.00;3838.66;0.00;0.00;8106.58;0.00;2647.00
14.00;0.76;4.04;20.59;14.00;7806.03;3276.00;1954.37;0.00;0.00;7806.03;0.00;1890.00
15.00;0.65;4.07;20.68;7.00;7903.11;1568.00;7.69;0.00;0.00;7903.11;0.00;2855.00
16.00;0.76;4.02;20.66;12.00;10158.11;2688.00;0.00;0.00;0.00;10158.11;0.00;2612.00
17.00;0.94;3.84;20.75;12.00;10403.46;2856.00;0.00;0.00;0.00;10403.46;0.00;2225.00
18.00;1.00;3.74;20.85;10.00;10497.72;2220.00;0.00;0.00;0.00;10497.72;0.00;2226.00
19.00;1.00;3.44;20.92;16.00;10990.21;3936.00;0.00;0.00;0.00;10990.21;0.00;5173.00
20.00;1.00;3.23;21.06;7.00;9880.97;1470.00;0.00;0.00;0.00;9880.97;0.00;4252.00
21.00;1.00;3.10;21.08;14.00;3952.39;0.00;0.00;0.00;0.00;3952.39;0.00;3393.00
22.00;1.00;2.65;20.86;11.00;1580.96;0.00;0.00;0.00;0.00;1580.96;0.00;2445.00
23.00;1.00;2.13;20.57;11.00;9153.33;2486.00;0.00;0.00;0.00;9153.33;0.00;1456.00
24.00;1.00;1.95;20.59;14.00;10773.84;2240.00;0.00;0.00;0.00;10773.84;0.00;922.00
25.00;1.00;1.76;20.64;9.00;11641.13;1440.00;0.00;0.00;0.00;11641.13;0.00;1076.00
26.00;1.00;1.61;20.69;16.00;4656.45;0.00;0.00;0.00;0.00;4656.45;0.00;1309.00
27.00;1.00;1.46;20.48;11.00;10699.38;1760.00;0.00;0.00;0.00;10699.38;0.00;740.00
28.00;1.00;1.43;20.51;13.00;4279.75;0.00;0.00;0.00;0.00;4279.75;0.00;735.00
29.00;1.00;1.39;20.29;10.00;10548.24;1600.00;0.00;0.00;0.00;10548.24;0.00;595.00
30.00;1.00;1.30;20.31;7.00;12030.54;1120.00;0.00;0.00;0.00;12030.54;0.00;845.00
31.00;1.00;1.13;20.36;14.00;12949.64;3444.00;2972.97;21068.57;0.34;34018.20;0.00;836.00
32.00;1.00;1.09;20.60;10.00;10220.40;2440.00;4526.98;0.00;0.00;10220.40;0.00;928.00
33.00;1.00;1.20;20.77;12.00;8900.80;2832.00;5862.58;0.00;0.00;8900.80;0.00;1730.00
34.00;1.00;1.21;20.95;10.00;7356.05;2120.00;5682.33;0.00;0.00;7356.05;0.00;2281.00
35.00;1.00;1.25;21.05;10.00;6345.98;2180.00;4788.44;0.00;0.00;6345.98;0.00;3068.00
36.00;1.00;1.31;21.09;14.00;2538.39;0.00;0.00;0.00;0.00;2538.39;0.00;3969.00
37.00;1.00;1.28;20.80;9.00;1015.36;0.00;0.00;0.00;0.00;1015.36;0.00;4827.00
38.00;1.00;1.16;20.47;13.00;9403.34;2626.00;1682.34;0.00;0.00;9403.34;0.00;2489.00
39.00;1.00;0.92;20.53;7.00;10096.03;1624.00;9.16;0.00;0.00;10096.03;0.00;549.00
40.00;1.00;0.82;20.53;11.00;12087.15;2420.00;0.00;0.00;0.00;12087.15;0.00;1887.00
41.00;1.00;0.74;20.61;11.00;12446.68;2442.00;0.00;0.00;0.00;12446.68;0.00;4520.00
