datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;21.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;321.00
1.00;1.00;4.00;20.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;377.00
2.00;1.00;4.11;20.56;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;309.00
3.00;1.00;4.14;20.35;1.00;3283.02;160.00;0.00;0.00;0.00;3283.02;0.00;288.00
4.00;1.00;4.08;20.33;2.00;1313.21;0.00;0.00;0.00;0.00;1313.21;0.00;232.00
5.00;1.00;4.04;20.20;1.00;3780.71;160.00;0.00;0.00;0.00;3780.71;0.00;256.00
6.00;1.00;4.01;20.21;1.00;4658.61;160.00;0.00;0.00;0.00;4658.61;0.00;133.00
7.00;1.00;4.06;20.28;2.00;5016.02;424.00;579.79;0.00;0.00;5016.02;0.00;145.00
8.00;1.00;3.80;20.41;0.00;4655.82;0.00;1009.84;0.00;0.00;4655.82;0.00;145.00
9.00;0.00;4.23;20.52;1.00;1862.33;246.00;1534.69;0.00;0.00;1862.33;0.00;144.00
10.00;0.00;4.66;20.52;2.00;744.93;480.00;1728.04;0.00;0.00;744.93;0.00;153.00
11.00;0.00;5.24;20.48;1.00;297.97;212.00;1569.39;0.00;0.00;297.97;0.00;145.00
12.00;1.00;4.18;20.40;2.00;2168.23;424.00;1378.84;0.00;0.00;2168.23;0.00;201.00
13.00;1.00;3.89;20.42;1.00;3036.96;236.00;993.61;0.00;0.00;3036.96;0.00;413.00
14.00;1.00;4.04;20.45;1.00;3770.82;200.00;499.81;10548.51;0.17;14319.33;0.00;530.00
15.00;1.00;4.07;20.49;1.00;4365.61;204.00;1.76;0.00;0.00;4365.61;0.00;116.00
16.00;0.00;4.02;20.54;2.00;1746.24;400.00;0.00;0.00;0.00;1746.24;0.00;227.00
17.00;1.00;3.84;20.45;1.00;3750.34;214.00;0.00;0.00;0.00;3750.34;0.00;285.00
18.00;1.00;3.74;20.46;1.00;4675.67;214.00;0.00;0.00;0.00;4675.67;0.00;306.00
19.00;1.00;3.44;20.53;2.00;5061.93;464.00;0.00;0.00;0.00;5061.93;0.00;714.00
20.00;1.00;3.23;20.62;1.00;5116.04;242.00;0.00;0.00;0.00;5116.04;0.00;868.00
21.00;1.00;3.10;20.70;1.00;5311.59;210.00;0.00;0.00;0.00;5311.59;0.00;803.00
22.00;1.00;2.65;20.79;2.00;5437.16;412.00;0.00;0.00;0.00;5437.16;0.00;644.00
23.00;1.00;2.13;20.89;1.00;5439.58;228.00;0.00;0.00;0.00;5439.58;0.00;461.00
24.00;1.00;1.95;20.97;2.00;2175.83;0.00;0.00;0.00;0.00;2175.83;0.00;376.00
25.00;1.00;1.76;20.85;1.00;870.33;0.00;0.00;0.00;0.00;870.33;0.00;357.00
26.00;1.00;1.61;20.65;2.00;3990.06;320.00;0.00;0.00;0.00;3990.06;0.00;182.00
27.00;1.00;1.46;20.65;1.00;1596.02;0.00;0.00;0.00;0.00;1596.02;0.00;120.00
28.00;1.00;1.43;20.49;2.00;638.41;0.00;0.00;0.00;0.00;638.41;0.00;139.00
29.00;1.00;1.39;20.28;1.00;3893.03;160.00;0.00;0.00;0.00;3893.03;0.00;151.00
30.00;1.00;1.30;20.27;1.00;5076.29;160.00;0.00;0.00;0.00;5076.29;0.00;164.00
31.00;1.00;1.13;20.32;2.00;5559.00;444.00;665.46;0.00;0.00;5559.00;0.00;175.00
32.00;1.00;1.09;20.46;1.00;5213.15;236.00;1054.10;0.00;0.00;5213.15;0.00;208.00
33.00;1.00;1.20;20.58;2.00;4990.04;444.00;1401.44;0.00;0.00;4990.04;0.00;263.00
34.00;1.00;1.21;20.72;1.00;4568.58;210.00;1391.40;0.00;0.00;4568.58;0.00;310.00
35.00;1.00;1.25;20.82;2.00;4565.05;416.00;1200.93;0.00;0.00;4565.05;0.00;376.00
36.00;1.00;1.31;20.92;1.00;4561.84;226.00;927.56;0.00;0.00;4561.84;0.00;515.00
37.00;1.00;1.28;20.99;0.00;4652.34;0.00;667.12;0.00;0.00;4652.34;0.00;635.00
38.00;1.00;1.16;21.04;2.00;4230.87;416.00;430.21;0.00;0.00;4230.87;0.00;467.00
39.00;1.00;0.92;21.07;1.00;1692.35;0.00;0.00;0.00;0.00;1692.35;0.00;400.00
40.00;1.00;0.82;20.91;1.00;676.94;0.00;0.00;0.00;0.00;676.94;0.00;312.00
41.00;1.00;0.74;20.69;1.00;3960.42;218.00;0.00;0.00;0.00;3960.42;0.00;1407.00
42.00;1.00;0.81;20.67;1.00;5210.86;216.00;0.00;0.00;0.00;5210.86;0.00;484.00
43.00;1.00;0.75;20.72;2.00;5699.67;472.00;0.00;0.00;0.00;5699.67;0.00;736.00
44.00;1.00;0.94;20.81;1.00;5757.27;230.00;0.00;0.00;0.00;5757.27;0.00;1166.00
45.00;1.00;0.91;20.90;1.00;5913.38;208.00;0.00;0.00;0.00;5913.38;0.00;865.00
46.00;1.00;1.04;20.99;2.00;6004.86;456.00;0.00;0.00;0.00;6004.86;0.00;429.00
47.00;1.00;1.19;21.10;2.00;2401.95;0.00;0.00;0.00;0.00;2401.95;0.00;363.00
48.00;1.00;0.98;20.98;2.00;960.78;0.00;0.00;0.00;0.00;960.78;0.00;289.00
49.00;1.00;0.98;20.78;1.00;3300.80;160.00;0.00;0.00;0.00;3300.80;0.00;432.00
50.00;1.00;0.93;20.72;2.00;1320.32;0.00;0.00;0.00;0.00;1320.32;0.00;216.00
51.00;1.00;0.94;20.54;0.00;528.13;0.00;0.00;0.00;0.00;528.13;0.00;303.00
52.00;1.00;0.94;20.31;1.00;3921.74;160.00;0.00;0.00;0.00;3921.74;0.00;299.00
53.00;1.00;0.99;20.29;1.00;5152.71;160.00;0.00;0.00;0.00;5152.71;0.00;198.00
54.00;1.00;0.92;20.35;1.00;5636.00;160.00;0.00;0.00;0.00;5636.00;0.00;353.00
55.00;1.00;1.34;20.43;2.00;5845.48;428.00;255.88;0.00;0.00;5845.48;0.00;297.00
56.00;1.00;1.69;20.55;1.00;5568.74;246.00;473.38;0.00;0.00;5568.74;0.00;111.00
57.00;1.00;2.48;20.67;2.00;5407.09;476.00;822.33;0.00;0.00;5407.09;0.00;652.00
58.00;1.00;3.39;20.82;1.00;4902.81;214.00;992.76;9020.15;0.14;13922.97;0.00;907.00
59.00;1.00;3.82;20.94;1.00;4652.92;202.00;986.07;0.00;0.00;4652.92;0.00;56.00
60.00;1.00;3.68;21.05;2.00;4081.26;428.00;727.86;0.00;0.00;4081.26;0.00;193.00
61.00;1.00;2.75;21.13;1.00;1632.50;0.00;0.00;0.00;0.00;1632.50;0.00;124.00
62.00;1.00;3.29;20.98;2.00;653.00;0.00;0.00;0.00;0.00;653.00;0.00;99.00
63.00;1.00;3.03;20.79;1.00;2833.40;224.00;2.05;0.00;0.00;2833.40;0.00;192.00
64.00;1.00;2.32;20.74;2.00;4459.19;496.00;0.00;0.00;0.00;4459.19;0.00;76.00
65.00;1.00;1.37;20.78;1.00;5036.15;222.00;0.00;0.00;0.00;5036.15;0.00;117.00
66.00;1.00;0.87;20.83;1.00;5566.47;220.00;0.00;0.00;0.00;5566.47;0.00;252.00
67.00;1.00;0.59;20.90;2.00;5854.49;420.00;0.00;0.00;0.00;5854.49;0.00;444.00
68.00;1.00;0.33;21.00;1.00;5866.71;212.00;0.00;0.00;0.00;5866.71;0.00;706.00
69.00;1.00;-0.21;21.08;1.00;5040.76;208.00;0.00;0.00;0.00;5040.76;0.00;560.00
70.00;1.00;-0.56;21.10;1.00;2016.30;0.00;0.00;0.00;0.00;2016.30;0.00;459.00
71.00;1.00;-0.53;20.94;1.00;806.52;0.00;0.00;0.00;0.00;806.52;0.00;354.00
72.00;1.00;-0.75;20.70;2.00;3894.49;320.00;0.00;0.00;0.00;3894.49;0.00;92.00
73.00;1.00;-0.68;20.67;1.00;5329.27;160.00;0.00;0.00;0.00;5329.27;0.00;133.00
74.00;1.00;-0.61;20.71;2.00;5984.66;320.00;0.00;0.00;0.00;5984.66;0.00;149.00
