datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;21.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.00
1.00;1.00;4.00;20.66;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;294.00
2.00;1.00;4.11;20.33;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
3.00;1.00;4.14;20.01;4.00;1323.29;640.00;0.00;0.00;0.00;1323.29;0.00;72.00
4.00;1.00;4.08;20.07;4.00;529.32;0.00;0.00;0.00;0.00;529.32;0.00;150.00
5.00;1.00;4.04;19.85;5.00;211.73;0.00;0.00;0.00;0.00;211.73;0.00;142.00
6.00;1.00;4.01;19.58;4.00;1382.18;640.00;0.00;0.00;0.00;1382.18;0.00;105.00
7.00;1.00;4.06;19.66;5.00;1451.20;1140.00;280.78;0.00;0.00;1451.20;0.00;536.00
8.00;0.60;3.80;19.90;3.00;1012.52;630.00;614.75;0.00;0.00;1012.52;0.00;323.00
9.00;0.80;4.23;20.01;4.00;973.26;944.00;1037.83;0.00;0.00;973.26;0.00;765.00
10.00;0.60;4.66;20.26;4.00;495.66;984.00;1267.25;0.00;0.00;495.66;0.00;298.00
11.00;0.60;5.24;20.48;3.00;198.26;630.00;1239.40;0.00;0.00;198.26;0.00;184.00
12.00;0.60;4.18;20.57;4.00;219.29;816.00;1175.16;0.00;0.00;219.29;0.00;587.00
13.00;0.60;3.89;20.67;3.00;226.49;648.00;820.17;0.00;0.00;226.49;0.00;220.00
14.00;0.60;4.04;20.66;5.00;567.62;1230.00;383.70;0.00;0.00;567.62;0.00;254.00
15.00;0.80;4.07;20.75;2.00;606.72;500.00;1.25;0.00;0.00;606.72;0.00;250.00
16.00;0.80;4.02;20.63;4.00;1293.39;920.00;0.00;7359.32;0.12;8652.71;0.00;389.00
17.00;1.00;3.84;20.72;4.00;1312.28;944.00;0.00;0.00;0.00;1312.28;0.00;1518.00
18.00;1.00;3.74;20.82;4.00;1322.53;808.00;0.00;0.00;0.00;1322.53;0.00;460.00
19.00;1.00;3.44;20.89;5.00;1420.91;1100.00;0.00;0.00;0.00;1420.91;0.00;1309.00
20.00;1.00;3.23;21.02;2.00;1308.13;484.00;0.00;0.00;0.00;1308.13;0.00;1017.00
21.00;1.00;3.10;21.01;4.00;523.25;0.00;0.00;0.00;0.00;523.25;0.00;574.00
22.00;1.00;2.65;20.76;2.00;209.30;0.00;0.00;0.00;0.00;209.30;0.00;382.00
23.00;1.00;2.13;20.44;3.00;83.72;0.00;0.00;0.00;0.00;83.72;0.00;232.00
24.00;1.00;1.95;20.09;4.00;1486.47;640.00;0.00;0.00;0.00;1486.47;0.00;331.00
25.00;1.00;1.76;20.14;2.00;594.59;0.00;0.00;0.00;0.00;594.59;0.00;154.00
26.00;1.00;1.61;19.89;5.00;1695.47;800.00;0.00;0.00;0.00;1695.47;0.00;47.00
27.00;1.00;1.46;20.00;4.00;1649.13;640.00;0.00;0.00;0.00;1649.13;0.00;139.00
28.00;1.00;1.43;20.07;4.00;659.65;0.00;0.00;0.00;0.00;659.65;0.00;66.00
29.00;1.00;1.39;19.83;3.00;1737.58;480.00;0.00;0.00;0.00;1737.58;0.00;86.00
30.00;1.00;1.30;19.88;2.00;1868.36;320.00;0.00;0.00;0.00;1868.36;0.00;249.00
31.00;1.00;1.13;19.93;5.00;2025.42;1030.00;308.81;0.00;0.00;2025.42;0.00;265.00
32.00;1.00;1.09;20.21;3.00;1490.79;696.00;628.61;7717.06;0.12;9207.85;0.00;140.00
33.00;1.00;1.20;20.36;5.00;1304.83;1150.00;934.26;0.00;0.00;1304.83;0.00;1750.00
34.00;1.00;1.21;20.63;3.00;777.47;654.00;1006.26;0.00;0.00;777.47;0.00;576.00
35.00;1.00;1.25;20.71;3.00;837.43;726.00;933.63;0.00;0.00;837.43;0.00;2113.00
36.00;1.00;1.31;20.81;3.00;864.03;624.00;774.05;0.00;0.00;864.03;0.00;533.00
37.00;1.00;1.28;20.85;1.00;1033.52;236.00;553.90;0.00;0.00;1033.52;0.00;343.00
38.00;1.00;1.16;20.81;4.00;1471.26;952.00;334.21;0.00;0.00;1471.26;0.00;644.00
39.00;1.00;0.92;20.95;2.00;1353.60;436.00;1.49;0.00;0.00;1353.60;0.00;233.00
40.00;1.00;0.82;20.89;4.00;1685.29;864.00;0.00;0.00;0.00;1685.29;0.00;418.00
41.00;1.00;0.74;20.98;4.00;1718.67;992.00;0.00;0.00;0.00;1718.67;0.00;240.00
42.00;1.00;0.81;21.10;3.00;1403.99;696.00;0.00;0.00;0.00;1403.99;0.00;236.00
